,Name,Price,Volume
0,CBG,130.5,6876500
1,PM,9.949999809265137,3119100
2,SAUCE,28.75,60900
3,SST,4.179999828338623,161400
4,CPH,3.640000104904175,5400
5,SUC,33.0,258900
6,TKT,1.809999942779541,1781500
7,TPCS,12.600000381469727,4200
8,UTP,17.5,4029900
9,PTTGC,56.5,79051500
10,BGC,11.0,2516900
11,GJS,0.30000001192092896,191653800
12,NOVA,10.699999809265137,9600
13,RCI,2.859999895095825,145000
14,TASCO,18.100000381469727,30569100
15,MK,3.0399999618530273,193700
16,PRECHA,0.9300000071525574,138300
17,AGE,2.619999885559082,6954600
18,BRRGIF,5.650000095367432,68100
19,EA,58.0,6070100
20,LANNA,17.100000381469727,5108300
21,PTTEP,100.5,9366100
22,TOP,44.5,21118900
23,TPIPP,4.199999809265137,21261500
24,DOHOME,25.0,10906100
25,SINGER,39.0,4325500
26,BCH,23.299999237060547,37980500
27,LPH,6.300000190734863,2743000
28,VIH,11.399999618530273,23939700
29,AMARIN,6.400000095367432,65900
30,ILINK,7.150000095367432,3849700
31,JASIF,9.800000190734863,36233100
32,THCOM,9.550000190734863,39008200
