,Stock,Price,Volume,5EMA,15EMA,35EMA,200EMA,RSI,compare
0,2S,6.800000190734863,5886800.0,6.708414979741546,6.276461366170394,6.044639047839337,4.669651929701584,62.68,True
1,A,4.980000019073486,2500.0,4.980000019073487,4.976631111744672,4.979091637804469,4.994742292332438,51.86,True
2,AAV,2.680000066757202,21939500.0,2.7277772527012223,2.4721292890501014,2.501017341924571,2.461696690034206,58.17,True
3,ABICO,5.75,62200.0,5.715596785259671,5.574134451384787,5.4634672692984605,5.2529772106645165,57.27,True
4,ACAP,2.059999942779541,7377000.0,2.18953599867023,1.8220840381767718,1.5075856672193735,1.067881240289374,58.51,True
5,ACC,0.8500000238418579,2023300.0,0.8798500332982535,0.8565718337820999,0.8979248092959813,0.7085289950226688,44.83,True
6,ADVANC,188.5,16097500.0,185.71327873475695,183.46707965262576,178.14656981648213,175.10026528618843,65.76,True
7,AEONTS,201.0,1594600.0,197.26956370211263,185.16395486726378,184.27496994759764,191.9152338814406,65.69,True
8,AF,0.800000011920929,1453200.0,0.7687587786190441,0.7407416041981614,0.7467727451510701,0.7094184417607828,61.22,True
9,AFC,11.5,66100.0,10.756615047022203,9.536019192014486,8.962380641341515,6.95698942347453,82.8,True
10,AGE,3.0,27893900.0,2.9272633973032143,2.792967360541385,3.118615648746037,2.3245899469793474,49.54,True
12,AHC,16.5,22600.0,16.508375064642035,16.31319905164289,15.445271093019901,13.923005683633118,57.95,True
13,AI,2.240000009536743,17640600.0,2.2269418452950283,2.06790763234133,2.064426874777203,2.3152753371340093,60.18,True
14,AIE,1.4700000286102295,57538000.0,1.516262030635222,1.307823963216142,1.3159797866672143,1.174005668440503,60.34,True
15,AIRA,2.0999999046325684,42000.0,2.066911892549438,1.9908291668899467,2.0017040527709797,1.4642334955332408,67.57,True
16,AIT,37.75,16842100.0,35.491762219454046,29.400586748531484,24.535105308525463,20.222086617285356,74.65,True
17,AJ,19.700000762939453,1376200.0,19.604351042761717,19.464141622963545,19.484902140974057,19.44643105443601,52.05,True
18,AKP,2.0999999046325684,13255300.0,2.0228283523238044,1.8280393966009452,2.0214108765485066,1.2861568510454182,61.66,True
19,AKR,1.0800000429153442,73556000.0,1.0457822660085803,0.9980233681400869,1.0178834263573886,0.7815553274419964,59.1,True
20,ALT,2.740000009536743,1381200.0,2.7262276097589053,2.6840245147448973,2.7511430116072852,3.155674932705101,51.87,True
21,ALUCON,180.0,0.0,178.1905868131346,176.7292496783262,175.312173819976,172.83925976730865,63.56,True
22,AMA,5.300000190734863,527500.0,5.358449485399355,5.192064587645716,5.370634561995149,5.6990315270378265,48.2,True
23,AMANAH,5.400000095367432,5270700.0,5.5550970747748325,5.1412919756550375,5.05548364088464,4.514468438122904,54.99,True
25,AMATA,18.399999618530273,7998800.0,18.66572878895098,18.16863377781128,18.160206534437478,17.201062777597986,51.94,True
26,AMATAV,7.849999904632568,94500.0,7.889054987494883,7.620506035474167,7.364143669130836,6.207415460327503,60.1,True
27,AMC,7.349999904632568,33797700.0,7.8192267433911296,5.935557450705777,4.571686561960656,2.8721385486325586,73.99,True
28,ANAN,1.7400000095367432,3337400.0,1.7636440040182202,1.6292573228584448,1.7622911061239503,1.9641702281343745,52.48,True
29,AOT,62.75,25815900.0,63.14287223124199,59.87076890597264,59.11882790828767,63.361928410499964,61.85,True
30,AP,8.399999618530273,7951100.0,8.314707716045493,8.016726696990215,8.045407512343136,7.742522849071804,61.32,True
31,APCO,5.150000095367432,699900.0,5.206369620963613,5.1138178792649684,5.84412587205149,4.074364227273011,43.84,True
32,APCS,5.099999904632568,250900.0,5.149047508215751,5.096799675879147,5.223552234812982,5.110393934385065,45.87,True
33,APURE,8.649999618530273,35025800.0,8.689181007734204,8.626606641828126,7.610457980467209,3.6411204301522524,58.76,True
34,AQ,0.019999999552965164,65240400.0,0.024980598082477504,0.02219257170747885,0.020764558392172307,0.017694095123531046,47.78,True
35,AQUA,0.4099999964237213,11972600.0,0.40931423081952256,0.3950290192929493,0.40240293471149174,0.4274589264818065,55.7,True
36,ARIP,0.8700000047683716,2882300.0,0.8707786780484583,0.8092040312677207,0.9446679195118008,0.60923993017474,48.9,True
37,ARROW,8.699999809265137,37800.0,8.61847477497743,8.441099455519296,8.29216525210817,7.921770269901777,61.2,True
39,ASEFA,3.9600000381469727,392600.0,3.9781577452561847,3.924600306347171,4.166828791409197,4.031102455434478,40.39,True
40,ASIA,5.349999904632568,7400.0,5.306925533083224,5.257530683598778,5.342388579846006,5.136719946494406,53.85,True
42,ASIMAR,2.6600000858306885,479600.0,2.6801082767463376,2.638132140762385,2.7858578614102214,2.100687160718626,45.29,True
44,ASN,3.559999942779541,20000.0,3.5895801244960603,3.515387796654464,3.7251821936845992,3.868498868009909,44.89,True
45,ASP,3.4600000381469727,11997000.0,3.4847906139054574,3.463912866951534,3.382980490370932,2.63495574682809,49.95,True
46,ATP30,1.4800000190734863,5820000.0,1.4007908685936452,1.2714627366149713,1.2652194543858555,1.140590499663882,70.43,True
47,AU,10.600000381469727,719000.0,10.755435512699798,10.291850650750645,10.12358365906004,10.343578683694487,55.79,True
48,AUCT,9.699999809265137,2084800.0,9.679496386355563,9.469947094462874,9.708942464483663,10.394119436248483,52.04,True
49,AYUD,37.75,1800.0,37.97640153932702,37.47227433854177,35.51828165977916,34.15599711967572,60.08,True
50,BA,11.600000381469727,3819100.0,11.840067636078873,10.608892976856662,10.403675320757882,7.59100568487446,61.85,True
51,BAFS,26.75,1036800.0,26.91098645565503,25.808773407498446,25.52791063644021,25.036199498107237,57.57,True
52,BANPU,11.0,76291200.0,10.726908555850574,10.45267106096215,12.240064916580163,11.095068916676606,44.99,True
53,BAY,32.0,730900.0,31.771766981007755,29.31719887464278,29.475482725747614,30.795448901666163,65.65,True
54,BBL,114.5,10097600.0,115.91393922673512,108.53691256839763,105.6427408937485,118.80663003571023,63.69,True
56,BCP,26.75,2884800.0,26.762721150637102,24.827792650904357,24.107469650439285,23.833889012225352,66.37,True
57,BCPG,14.600000381469727,10746200.0,14.654894627951503,14.349820293588287,14.43986528489847,14.39964273294919,52.84,True
58,BDMS,23.299999237060547,25085000.0,23.29044412869339,22.980622571637955,22.86571007737885,21.594288832363215,57.02,True
59,BEAUTY,1.5399999618530273,52332200.0,1.5234756043706066,1.4441567646873161,1.4929088606536078,1.6387555228583035,58.42,True
60,BEC,13.300000190734863,10137200.0,12.99346057042302,12.094749655764161,13.166161180391958,9.231375660251972,57.78,True
61,BEM,8.600000381469727,33039500.0,8.584006368077207,8.261590231224229,8.023513275921488,8.405914610447512,64.33,True
62,BFIT,36.0,12899900.0,36.01651342461984,34.547823147251655,35.027897537126826,33.60026030908588,54.32,True
63,BGT,1.0199999809265137,268500.0,1.0154353248998682,0.9846799437809084,1.0181148165125196,1.059901070258193,53.23,True
64,BH,133.5,1757500.0,132.66913594971084,130.80382682824458,124.64518468454243,125.72131238121943,66.3,True
65,BIG,0.6000000238418579,51033600.0,0.5899206575359283,0.5590404093643677,0.5822227006666842,0.6284856482072751,57.37,True
67,BJC,34.5,6669300.0,35.71234519337647,34.61674013990443,34.18175962503072,35.30999627352781,47.5,True
68,BJCHI,1.9700000286102295,833500.0,1.9959459183948356,1.9402718147009999,1.9462022055955497,1.7659085654408784,51.83,True
70,BKI,271.0,13700.0,270.8001484420228,269.6123480957748,270.603436255025,273.2608831839736,51.21,True
71,BLA,26.75,3095100.0,27.862350815575613,26.99499950964801,26.529844470135295,24.77398454848567,46.81,True
72,BLAND,1.0800000429153442,29469900.0,1.0868078111063615,1.0506372006215043,1.0672623411923619,1.1072240508115057,53.46,True
73,BM,3.9200000762939453,3042100.0,3.899402643565512,3.884688437109682,3.926558215726824,3.387344735266679,47.0,True
74,BOL,10.199999809265137,2346500.0,9.888694775577989,9.671892622188096,9.674324241466774,8.14100272208967,65.12,True
75,BPP,18.799999237060547,7513800.0,18.89784297211078,18.477459585812035,18.03154409774966,17.547103035551988,57.1,True
76,BR,3.059999942779541,1084900.0,3.055171039703218,2.8915352565515944,3.0247585898785916,2.574993779214322,57.58,True
78,BROOK,0.7300000190734863,663271200.0,0.7093777659585204,0.6973951824375696,0.6711119813150676,0.5046006694548543,56.38,True
79,BRR,6.25,583300.0,6.323950454291299,6.233162247493807,6.544055577130379,4.648529307012958,42.67,True
80,BSBM,1.4600000381469727,1158400.0,1.4797119397574436,1.457067570074498,1.4594285959990296,1.2141170273359865,48.54,True
81,BSM,0.4099999964237213,3613900.0,0.4188594807371365,0.39375182717525814,0.3948054764884968,0.32428382015978546,54.49,True
82,BTNC,10.600000381469727,200.0,10.538500214022239,10.264606388330789,10.584232049804216,12.169729833869015,52.07,True
83,BTS,9.449999809265137,43353200.0,9.372128149120678,8.977946922213924,8.873896311001701,9.510632194637044,65.43,True
84,BTW,1.090000033378601,6308000.0,1.048190234310535,0.9550062654901258,1.0701879550960762,0.9902535881631597,61.14,True
85,BUI,15.0,15500.0,14.901904792833635,14.8279273381848,14.486733111479955,11.400157671720006,64.82,True
86,BWG,0.699999988079071,80989700.0,0.6999999880790709,0.6407070088070491,0.6799131985207014,0.603797719691511,58.02,True
87,CBG,135.5,5639600.0,137.3805285059699,135.02647346570248,143.94382285052058,128.75178878544114,43.9,True
88,CCET,2.819999933242798,6129600.0,2.802933373942383,2.6569220343416613,3.027817516023379,2.526607548067214,47.56,True
89,CEN,2.319999933242798,11783100.0,2.2750395466895816,2.179447633883309,2.2387525375810506,1.1543105772957771,56.3,True
90,CENTEL,32.25,4662100.0,33.07593962728855,31.906204258737365,30.638092123423515,29.03789059387639,53.23,True
91,CFRESH,2.5199999809265137,3386000.0,2.531535209380486,2.236717286669027,2.2057523104490966,2.1525171933201035,66.85,True
92,CGD,0.5,93712000.0,0.49424073282894504,0.4901835826329706,0.5251611560405532,0.6454509834610918,44.47,True
93,CGH,1.090000033378601,12194300.0,1.0776243940585029,1.0382318447558803,1.0524792138176597,0.856377114446531,59.31,True
94,CHARAN,32.0,2800.0,31.14209475391393,30.66118334954444,30.89411902182592,29.956034963873417,60.16,True
95,CHEWA,0.949999988079071,10427600.0,0.8954971529993616,0.8208070830611915,0.8655421175283916,0.6960975242992532,63.98,True
97,CHO,0.7699999809265137,17480000.0,0.7974103536733528,0.7431452082720374,0.7977519187856197,0.6648596748394136,46.99,True
98,CHOTI,76.0,400.0,76.3589417546562,75.96035066551853,76.756365963651,69.39808426344716,48.57,True
99,CHOW,3.440000057220459,9800.0,3.5023144108921342,3.39151115877381,3.635585184416957,3.5589855246526274,42.51,True
100,CI,0.8500000238418579,644400.0,0.8409691560767054,0.8163162384909946,0.8388768251248577,0.7749120862231443,53.31,True
101,CIG,0.6200000047683716,5015400.0,0.6463086555679374,0.5715808385873937,0.6352138438998629,0.437770232379695,51.33,True
102,CIMBT,0.8199999928474426,1244400.0,0.8095243788350968,0.7725424229207984,0.7712183517147203,0.6932325952355542,60.14,True
103,CITY,2.5799999237060547,1022300.0,2.466885144604591,2.2793657951059125,2.2779959730354364,2.0646205106502786,74.3,True
104,CK,19.600000381469727,5513500.0,19.688342534186695,19.533268194761618,18.767572854682125,17.463033700360505,54.53,True
105,CKP,5.449999809265137,10873400.0,5.580320211606153,5.485810708698862,5.776894513124702,4.971948818048935,42.51,True
106,CM,2.9600000381469727,103100.0,2.941702116922102,2.862410718223866,3.0205172030659906,2.817520555138964,50.54,True
107,CMO,1.3300000429153442,753700.0,1.2971598700053295,1.1528503947971651,1.1753731170997672,1.0962896739408687,67.73,True
108,CMR,3.7799999713897705,18045100.0,3.6783685095566465,3.578357893102926,3.490799072001824,2.1629706560731634,63.05,True
109,CNT,1.9199999570846558,62600.0,1.9156602908627465,1.8141658191937382,1.832096808031901,1.525051934224682,60.28,True
110,COLOR,2.2799999713897705,13101300.0,2.166996528363001,2.0915360400105634,2.174209220144477,1.521809377362231,60.04,True
111,COM7,69.0,4401000.0,68.93226222221573,66.73750172422109,66.03004203609879,53.967744910219096,59.99,True
113,CPALL,64.0,54590000.0,63.85230471097715,60.11042236549016,59.628322027388556,60.97593209670785,67.38,True
114,CPF,26.75,26777000.0,26.911125973043042,26.3510840927282,26.4058547335811,27.93134733834026,53.2,True
115,CPH,4.059999942779541,11800.0,4.019075880692291,3.869591975078082,3.9039726599521294,3.633411543885295,58.75,True
116,CPI,3.7200000286102295,4106800.0,3.8287590538901823,3.4024664223259866,3.1570476988893446,2.3092745759057345,66.0,True
117,CPL,2.0199999809265137,154500.0,2.0471404818555294,2.0347544802328956,2.0425415452936635,1.446808064932617,47.16,True
118,CPN,53.0,7978100.0,53.154240755724935,50.671047045027564,49.37295563604194,51.76196286620862,61.44,True
119,CPR,4.019999980926514,56100.0,4.002281012299683,3.922534092463748,4.280701502374555,3.1641400940489843,44.35,True
120,CRANE,1.440000057220459,2089500.0,1.4568563032215993,1.3890720769623353,1.5191297268670496,1.5723839572138483,45.44,True
121,CSC,49.25,26100.0,49.58314161705797,49.56702330768289,49.99844842607309,52.58515019182349,42.48,True
122,CSP,3.059999942779541,62818800.0,3.0512440804092242,2.6000021805237115,2.38337598784799,1.2928505323862385,63.4,True
123,CSR,62.0,0.0,62.0,61.99999999999999,62.612326293611446,64.05506621778012,32.09,True
124,CSS,2.0,2887700.0,2.0171793131470785,1.9212776274715455,1.946414541952047,1.9532623893797718,57.18,True
125,CTW,7.599999904632568,204800.0,7.870436539650459,7.691300926631298,7.744541712661884,7.412169216997742,43.21,True
126,CWT,3.740000009536743,835800.0,3.750399935801061,3.5827744057523696,3.6839055588281093,3.247150334516982,54.27,True
127,DCC,2.9800000190734863,20756400.0,3.0267202168187968,3.0196219392904484,3.1363124307568593,2.602759803663835,43.2,True
128,DCON,0.550000011920929,24462200.0,0.5444853432404072,0.5076445797304677,0.5038104222948687,0.4067038266008559,66.65,True
129,DELTA,726.0,8388300.0,601.7785412398687,572.4827677722565,581.0551749614532,428.540152393679,79.21,True
130,DEMCO,5.050000190734863,2190400.0,5.0603741731991825,4.86733444433917,4.871404694151419,3.643938953719677,53.29,True
131,DIMET,0.7400000095367432,453274700.0,0.8053080744504203,0.6953998730039423,0.656314040112257,0.23181160309193438,56.31,True
133,DTAC,39.5,30409300.0,37.207631509640244,35.38185099566913,33.85261430230495,33.302875124669725,74.17,True
134,DTCI,28.75,0.0,28.75,28.646956535202197,27.961950466981868,28.609924684379198,66.78,True
135,EA,65.75,13560000.0,65.10205146743338,60.57861417171541,59.790619869173476,56.95378709698684,71.54,True
136,EASON,1.649999976158142,1267700.0,1.642329522298938,1.527649653904781,1.764298124216728,1.434794784526811,49.77,True
137,EASTW,10.199999809265137,2573300.0,10.15435346665865,10.038482417772686,10.060127315737502,9.628401887280166,57.87,True
138,ECF,1.8300000429153442,4440900.0,1.7647600204593052,1.653452761377207,1.7290093182667323,1.5987310917465787,64.75,True
139,ECL,1.8799999952316284,9268800.0,1.8560160659524465,1.7273884700677566,1.8072718506219951,1.3731143388944165,58.69,True
140,EE,1.399999976158142,67470200.0,1.4711457840187234,1.4291473106743857,1.2598381595837866,0.7777716851931351,54.05,True
141,EFORL,0.20999999344348907,932043500.0,0.20716960622319075,0.20180256797865131,0.161082645726498,0.07311225170277122,61.34,True
142,EGCO,178.5,902700.0,179.45298540362202,177.5806651589471,174.29192754720387,184.74788190051027,53.78,True
144,EMC,0.2800000011920929,192893800.0,0.26615990814436863,0.2612106988172312,0.26807554554260454,0.20908695093959936,57.3,True
145,EPG,13.0,32110800.0,12.69469375754567,12.662465339995219,12.664356323014559,9.185894630607006,56.05,True
146,ERW,2.9600000381469727,4619500.0,3.0095418925456547,2.9355835643749515,2.824930904969585,2.6092268082277297,52.94,True
147,ESSO,7.800000190734863,8753100.0,7.832661973189637,7.3151368681556415,7.487062241920637,8.062456069781877,58.05,True
148,ESTAR,0.5799999833106995,20739400.0,0.5726049378815695,0.5617933524709432,0.564886668497902,0.50430768783469,55.49,True
149,EVER,0.3400000035762787,12901700.0,0.33931423797208005,0.32724880673925383,0.3333416228045223,0.292823555122668,52.04,True
150,FANCY,0.9800000190734863,8795900.0,0.9510327078755142,0.9197691109460191,0.9837288736136715,0.7933559333178825,52.59,True
153,FN,2.3399999141693115,1984100.0,2.2890249086831504,2.1156682952457153,2.3976502053900584,1.5647044890329245,57.02,True
154,FNS,4.179999828338623,819900.0,4.114195434875914,3.953359791798501,4.149530686241878,4.14095293755716,55.56,True
155,FORTH,16.299999237060547,16580900.0,14.95109075623282,14.149084334101634,12.6444582776314,7.790866819289773,68.54,True
156,FPI,2.559999942779541,857000.0,2.5503814337451836,2.538555369770916,2.52259170026126,1.8640573344866243,52.13,True
157,FSMART,11.300000190734863,11577800.0,10.739393916960731,10.716921476538422,10.735079272108111,8.1218470662072,60.63,True
158,FSS,4.980000019073486,1838800.0,4.960184048406732,4.9590693780894055,5.183594162717724,2.8314841343683534,47.32,True
159,FVC,1.149999976158142,12695900.0,1.1426978384049002,1.0176834528939607,1.0160297356409682,0.6368848913909247,62.03,True
160,GBX,1.3700000047683716,19223000.0,1.3435932993109556,1.3285140398811923,1.2667115227619923,0.8465296714528856,56.32,True
161,GC,12.5,1191600.0,11.720272070739515,11.306564142613775,10.395054626373362,7.474360074328316,74.32,True
162,GCAP,2.0399999618530273,306400.0,2.0180621680060447,1.9378215661327391,2.1074084673182196,2.016703182311276,50.0,True
163,GEL,0.4000000059604645,11971200.0,0.40456466198711,0.3772319484116272,0.35465671100075763,0.29505647110425065,58.68,True
