,Name,Price,Volume
0,NER,7.550000190734863,17695200
1,TRUBB,2.5999999046325684,3862300
2,M,52.25,1643300
3,SUN,7.150000095367432,3406600
4,TVO,32.0,3616800
5,TR,37.0,47100
6,ASAP,2.359999895095825,557400
7,ASP,3.4200000762939453,19985200
8,FSS,4.920000076293945,2412600
9,MBKET,11.899999618530273,229300
10,TNITY,6.699999809265137,625100
11,THRE,1.399999976158142,4507200
12,TVI,8.100000381469727,228700
13,SAT,20.700000762939453,7209200
14,TNPC,3.940000057220459,3331400
15,PK,2.799999952316284,66159400
16,SNC,13.300000190734863,3704800
17,TMT,10.600000381469727,1436600
18,EPG,12.300000190734863,9723300
19,RCI,2.859999895095825,145000
20,AMATAV,7.800000190734863,209100
21,APCS,5.099999904632568,212900
22,DEMCO,4.940000057220459,1635900
23,GUNKUL,4.71999979019165,216334100
24,PRIME,1.899999976158142,14994800
25,SSP,12.5,26884300
26,BJC,35.0,10029800
27,IT,6.5,2905700
28,BCH,22.399999618530273,13820100
29,CHG,3.6600000858306885,105824100
30,EKH,7.699999809265137,7486900
31,LPH,6.099999904632568,1034000
32,PRINC,4.380000114440918,1158700
33,RJH,33.0,401300
34,RPH,6.150000095367432,1766800
35,SISB,9.300000190734863,178300
36,CENTEL,32.25,4943600
37,ERW,2.9200000762939453,11984500
38,SHR,3.4800000190734863,9767500
39,BEM,8.449999809265137,45999700
40,JWD,15.899999618530273,8785300
41,PSL,22.600000381469727,23284000
42,RCL,57.5,12532400
43,TTA,15.800000190734863,52747100
44,WICE,13.0,4234300
45,HUMAN,10.0,3912500
46,THCOM,9.949999809265137,7446800
