,Stock,Price,Volume,5EMA,15EMA,35EMA,200EMA,RSI,compare
0,GTB,0.8899999856948853,1401100.0,0.8938788761173321,0.8931767110216587,1.0017673074085158,0.7970832085480882,44.5,True
1,EE,1.4700000286102295,18646100.0,1.489498141669708,1.376858559468104,1.2280092492955668,0.7697840036204259,63.74,True
2,LEE,2.700000047683716,238900.0,2.665051307411121,2.64300792031988,2.7198102846642223,2.5311417828454945,52.34,True
4,PPPM,0.28999999165534973,80111700.0,0.25381173315765737,0.2247400360562704,0.24178158840081632,0.20927208093747374,64.13,True
6,VPO,1.6799999475479126,148063500.0,1.6042445201443745,1.3994570157038013,1.2964138120748685,0.7811561414639551,66.98,True
7,BR,3.0399999618530273,5525600.0,2.9444800298207072,2.8946643295105976,3.0189497441071103,2.5500743195765114,55.97,True
8,CFRESH,2.5,8445500.0,2.3704480278631297,2.175279910125486,2.1811793211083255,2.1490384951873596,73.56,True
9,CM,2.9200000762939453,58100.0,2.9347901671522054,2.8848443132067505,3.0169131107546243,2.8120421193153393,47.26,True
10,CPI,3.859999895095825,29004900.0,3.5531679669511878,3.287125092315513,3.0931694706156567,2.2719859290767594,80.43,True
11,GLOCON,1.2400000095367432,48110700.0,1.231410352963204,1.205346442434831,1.208482572875066,0.980225412733663,55.76,True
14,SST,4.300000190734863,51900.0,4.234981719141102,4.214140898951736,4.2242958166847835,2.971407585177696,63.86,True
15,TFG,4.699999809265137,7593000.0,4.594214491603509,4.526653440918124,4.607418743388205,4.993645459140646,57.91,True
16,W,4.800000190734863,35166600.0,4.432562305418012,4.060762673944666,3.627324752040934,48.22924309732415,30.44,True
18,CPL,2.059999942779541,178500.0,2.0433491237318173,2.023886501593178,2.043175587647946,1.4331801572032827,53.64,True
19,PAF,1.659999966621399,894300.0,1.6078017691863926,1.547020862419571,1.6915013942997927,1.0702731690006375,53.52,True
20,PDJ,2.2200000286102295,97700.0,2.167911272308845,2.1302865649998375,2.3485687938706477,1.7522617625615708,48.74,True
21,AJA,0.3799999952316284,224766900.0,0.3485394147275267,0.33467777744925103,0.3491003623109305,0.19091158623364754,63.4,True
25,TCMC,1.7799999713897705,3529800.0,1.7445620341361097,1.7332708538244468,1.7474258644168286,1.8000599306512102,53.65,True
27,STHAI,0.09781999886035919,0.0,0.0978199988603592,0.09781999886035919,0.09781999886035918,0.09781999886035922,,True
28,AMANAH,5.650000095367432,12044900.0,5.531598003416303,4.994041597760928,5.025508092603943,4.460933252615852,63.41,True
29,ASAP,2.4200000762939453,531000.0,2.4282975126185904,2.3438233898005327,2.4900086473705216,2.2363063153193314,49.82,True
30,ASP,3.5199999809265137,19777600.0,3.633666561084432,3.411250743293081,3.360752354121925,2.6051111090112333,53.02,True
31,CGH,1.0800000429153442,32539400.0,1.0599594710528777,1.0216234490264975,1.0550810401386546,0.8496250813099364,57.86,True
32,ECL,1.8300000429153442,8994000.0,1.8061482814728351,1.7042427173043246,1.822439955227604,1.3531270070975894,55.5,True
34,GBX,1.3300000429153442,11407600.0,1.3603785464710947,1.2857368990286875,1.2606096086845615,0.8316274202480117,53.43,True
36,IFS,2.619999885559082,492400.0,2.5831904170970237,2.5593517604171816,2.61902452837482,2.553685639100781,54.6,True
37,ML,1.309999942779541,2991800.0,1.2742193267783006,1.215609023029232,1.2738787656963637,1.0719892366188086,57.39,True
39,PL,2.5999999046325684,231400.0,2.5918994450400956,2.5681836408341048,2.625022038798099,2.356364437728414,49.77,True
41,XPG,4.28000020980835,40653400.0,4.325163877211566,3.7861009388512517,4.138616071692456,3.1225343543485944,49.41,True
44,THREL,3.0999999046325684,936300.0,3.0277132017985604,2.922245495521259,2.8506407017179747,3.3115569302304984,65.82,True
45,TSI,0.3199999928474426,1492100.0,0.3039900523560548,0.2966143367871689,0.30377262632147983,0.2962851633294445,59.68,True
46,ACG,2.380000114440918,2225000.0,2.3698923286787985,2.346109362589514,2.454222429980149,1.7204999928684297,45.87,True
47,CWT,3.759999990463257,2682200.0,3.705471553374368,3.57756675990323,3.6897462919624626,3.2130135718515107,57.1,True
50,INGRS,0.9300000071525574,8599100.0,0.938173725861774,0.9028711887671392,0.9741225347441043,0.6239379234970196,50.24,True
51,TKT,2.180000066757202,5648900.0,2.0529091446387886,2.0229172914353715,2.090659013952486,1.2149490729469181,57.38,True
52,TNPC,4.0,4172900.0,4.112424490428729,4.0145285750722435,3.288899237932146,1.3788204652069744,59.15,True
54,ALLA,1.7999999523162842,1321200.0,1.8038788427387311,1.7752387205915028,1.8666660694448154,1.4760573006854134,47.34,True
56,CPT,0.8799999952316284,212400.0,0.8474908916685904,0.8385687363476537,0.8578573973540441,0.88654333577195,59.86,True
57,CRANE,1.5,6050900.0,1.4291240198792945,1.3891846877171585,1.5252275637435415,1.5730122420994064,54.35,True
58,KKC,1.2400000095367432,1493100.0,1.1709259919242325,1.1234186513948121,1.229477830624835,0.7939680202069225,55.64,True
59,PK,2.8399999141693115,8101300.0,2.9556001126061564,2.7245898663051284,2.530262362045404,1.9327105747061992,55.15,True
62,VARO,4.699999809265137,4000.0,4.75187520251435,4.473019098497632,4.443775930254687,4.032634938065378,58.38,True
63,CMAN,2.5,150900.0,2.462308197310611,2.4365843983978714,2.474873372139626,1.854671818682128,53.87,True
64,GIFT,2.3399999141693115,876200.0,2.4017466878501095,2.3166476466158086,2.472192608335827,2.1136439689555138,46.33,True
65,NFC,3.859999895095825,400.0,3.954795383741466,3.9324375078924074,3.935166548970179,3.2758986801959855,42.57,True
