,Symbols,Vol,Avg
262,SLP,4178600.0,1374340.0
263,SMIT,192000.0,287720.0
264,SMPC,2320500.0,864080.0
265,SNC,711200.0,625700.0
266,SNP,215900.0,68100.0
267,SO,1126500.0,620740.0
268,SONIC,41381500.0,78714500.0
269,SORKON,792600.0,613080.0
270,SPALI,10266900.0,7328440.0
271,SPG,7600.0,1580.0
272,SPRIME,284100.0,45640.0
273,SR,585300.0,642200.0
274,SRICHA,2507800.0,1046760.0
275,SSC,1700.0,1440.0
276,SSSC,309200.0,171640.0
277,STANLY,146500.0,61680.0
278,STAR,462500.0,102880.0
279,STARK,49085600.0,43235820.0
280,STC,27873300.0,1207400.0
281,SUN,40362100.0,10755600.0
282,SUPER,1089607100.0,492569640.0
283,SUSCO,7283700.0,846340.0
284,SVOA,26191300.0,20212360.0
285,SWC,310700.0,188220.0
286,SYMC,20600.0,26520.0
287,SYNEX,5672100.0,2231920.0
288,T,30352100.0,37952940.0
289,TAE,6539700.0,6285860.0
290,TC,877200.0,682640.0
291,TCJ,3646300.0,2189700.0
292,TCMC,27259000.0,15486060.0
293,TEAM,13813100.0,11790760.0
294,TEAMG,38948500.0,9176920.0
295,TFI,8759500.0,5356700.0
296,TGH,1900.0,5680.0
297,THCOM,21433700.0,32392160.0
298,THG,1280300.0,858380.0
299,THIP,64200.0,44220.0
300,THMUI,13843100.0,2949320.0
301,TIGER,257000.0,261360.0
302,TISCO,4092500.0,3622440.0
303,TKN,16423700.0,10087440.0
304,TKS,7221600.0,6169040.0
305,TLHPF,8500.0,11740.0
306,TM,5593700.0,7240600.0
307,TMC,273800.0,172400.0
308,TMILL,369200.0,458240.0
309,TMT,6396200.0,2211200.0
310,TNDT,3668000.0,1729720.0
311,TNITY,7422500.0,1442000.0
312,TNP,9045700.0,10826320.0
313,TNPF,20000.0,3960.0
314,TPAC,3452600.0,758380.0
315,TPBI,885600.0,486520.0
316,TPCH,960000.0,631340.0
317,TPCORP,10900.0,5020.0
318,TPIPP,27391300.0,20450800.0
319,TPP,9700.0,4340.0
320,TRITN,244969900.0,46405500.0
321,TRT,555300.0,872540.0
322,TRU,34000.0,130180.0
323,TRUE,42210600.0,81078700.0
324,TSC,19900.0,15180.0
325,TSE,11478100.0,62733760.0
326,TSI,4695800.0,1587240.0
327,TSR,14331100.0,8917880.0
328,TSTE,13600.0,9640.0
329,TTW,5600200.0,4616280.0
330,TVI,774200.0,910800.0
331,TYCN,353500.0,219280.0
332,UBIS,730500.0,371260.0
333,UOBKH,1235200.0,364940.0
334,UP,11200.0,4500.0
335,UPA,28136300.0,32869820.0
336,UPF,4400.0,4420.0
337,UPOIC,89700.0,92740.0
338,UREKA,1747900.0,1384020.0
339,UTP,6520300.0,2532800.0
340,UV,12012400.0,8410720.0
341,UVAN,717700.0,372840.0
342,UWC,99179300.0,199437040.0
343,VCOM,4741700.0,2593380.0
344,VGI,42615600.0,36512020.0
345,VIBHA,24250300.0,30351780.0
346,VL,29517000.0,36473700.0
347,VNG,1773800.0,962180.0
348,VRANDA,490500.0,198260.0
