,Symbols,Vol,Avg,Chg
0,ENY,20900,2380.0,0.09
1,GLD,1701700,1292260.0,-0.02
2,TH100,8000,3140.0,-0.01
3,3K-BAT,200,140.0,-0.5
4,ABICO,133300,111560.0,-0.1
5,ABM,2202100,1449740.0,0.08
6,ABPIF,215100,204920.0,-0.02
7,AHC,93500,43540.0,0.0
8,AI,21448600,15337660.0,-0.02
9,AIMCG,959900,832720.0,-0.0
10,AIT,245800,157920.0,-0.1
11,AKP,11115700,3235580.0,0.09
12,AMANAH,65753400,6472820.0,0.5
13,AMARIN,1129600,112120.0,0.75
14,AMC,3264600,1070240.0,-0.14
15,ANAN,14432800,14269120.0,-0.08
16,AP,25184600,19572920.0,0.0
17,APCO,6705100,270920.0,0.24
18,APP,5169700,1257420.0,0.36
19,AQ,615783400,89425160.0,-0.01
20,ARIN,1877400,1430000.0,0.01
21,ARROW,1255600,112380.0,0.3
22,AS,17901800,7079220.0,-0.8
23,ASEFA,327700,276680.0,0.04
24,ASK,16798400,793160.0,3.0
25,ATP30,11789500,1142920.0,0.06
26,AUCT,3564500,2479520.0,-0.1
27,B-WORK,690600,442060.0,0.0
28,B52,81222000,34982540.0,0.11
29,BA,8559300,6313940.0,0.05
30,BCPG,8441700,5315540.0,-0.1
31,BCT,425800,71000.0,0.0
32,BFIT,10116000,3786560.0,2.5
33,BGC,1735700,1585040.0,0.0
34,BIG,35574300,27846720.0,-0.01
35,BJCHI,13742700,8828120.0,-0.12
36,BKI,103600,82800.0,-1.0
37,BM,10575900,5731420.0,0.14
38,BOFFICE,344600,211540.0,0.05
39,BR,5299800,2675340.0,-0.0
40,BRRGIF,79700,69400.0,0.0
41,BSBM,9797700,4706880.0,-0.05
42,BSM,34559000,34147460.0,-0.02
43,CBG,4494100,3688400.0,0.5
44,CENTEL,3643000,2996180.0,-0.75
45,CFRESH,7200000,3137240.0,0.04
46,CGD,158634300,61778320.0,-0.04
47,CHAYO,29263300,23849000.0,-0.8
48,CHEWA,53637800,23991600.0,-0.01
49,CHO,10296200,6705860.0,-0.03
50,CHOW,105000,97400.0,-0.08
51,CIG,4213700,2489480.0,0.01
52,CK,46670700,25671720.0,-1.1
53,CKP,35480400,27225020.0,0.15
54,COM7,8027100,7518640.0,-1.0
55,CPF,48430800,36782440.0,0.25
56,CPT,13634500,2948840.0,0.01
57,CSP,994700,815360.0,-0.02
58,CSR,200,0.0,0.0
59,CSS,79051300,5752780.0,0.18
60,CTARAF,88500,58020.0,0.05
61,CTW,246900,181060.0,-0.05
62,CWT,22171400,11964740.0,0.18
63,DCC,24109600,22569560.0,-0.0
64,DHOUSE,2512000,2509180.0,-0.02
65,DOHOME,6704000,4469420.0,0.25
66,DRT,1320400,964900.0,0.2
67,DTAC,12892300,12857200.0,0.25
68,DTC,425900,188960.0,0.2
69,ECF,15898900,12620620.0,-0.07
70,ECL,63266500,19599880.0,0.02
71,EE,85947900,17720320.0,0.0
72,EPG,20632600,14034560.0,0.1
73,ERW,18550600,13500960.0,-0.04
74,ESTAR,18927300,12738280.0,-0.0
75,ETC,58844900,34923000.0,0.14
76,ETE,4146600,2246260.0,-0.06
77,FANCY,8179500,7336920.0,-0.05
78,FORTH,13964000,9115920.0,0.4
79,FPT,129400,90460.0,-0.1
80,FSMART,19876700,9485080.0,0.6
81,FVC,46242900,9746580.0,0.02
82,GFPT,6536800,4059160.0,0.2
83,GIFT,5452600,933820.0,0.1
84,GPI,1225100,1018880.0,0.01
85,GRAND,10897000,10821860.0,-0.01
86,GUNKUL,740188800,290347300.0,0.26
87,HARN,671000,590100.0,-0.02
88,HFT,15331500,7217580.0,0.4
89,HPF,363000,153360.0,-0.0
90,HPT,1707000,1438600.0,-0.01
91,HREIT,631900,355440.0,0.0
92,HUMAN,2466300,1172020.0,0.25
93,IFS,1707200,500500.0,0.06
94,IIG,543900,195520.0,0.75
95,ILINK,4474400,3322600.0,-0.35
96,ILM,1229200,902860.0,0.1
97,INGRS,303024300,18347800.0,0.1
98,INSET,30557900,22123220.0,0.04
99,INTUCH,16997800,5830880.0,0.75
100,IP,1782800,958560.0,0.4
101,IRC,53000,36740.0,-0.0
102,IRPC,196755600,181233500.0,0.04
103,ITD,411943200,209831900.0,-0.32
104,J,12164900,5936300.0,-0.06
105,JAK,5208300,2205780.0,0.07
106,JAS,1588567700,72096860.0,0.42
107,JASIF,16410900,10113780.0,0.1
108,JCT,2000,1560.0,-0.5
109,JMT,5549700,5269180.0,-0.75
110,JTS,11591800,322100.0,1.8
111,JUBILE,200600,197680.0,-0.1
112,JWD,4785500,3526640.0,-0.5
113,K,3312600,2717620.0,-0.03
114,KISS,16410100,11633600.0,-0.1
115,KSL,36099000,33384600.0,-0.26
116,KTB,28228000,19427760.0,0.0
117,KUMWEL,4386500,1455200.0,0.0
118,KWG,6351500,3260500.0,0.11
119,KWM,22338800,7371240.0,0.65
120,KYE,18400,3340.0,14.0
121,LALIN,610400,414000.0,0.05
122,LANNA,10403300,3955360.0,3.1
123,LHHOTEL,350400,176680.0,0.5
124,LHPF,361600,67800.0,0.3
125,LRH,13100,5920.0,0.25
126,LST,652000,632180.0,-0.2
127,LUXF,20000,2360.0,0.25
128,M-CHAI,1400,920.0,-3.0
129,MACO,137852200,16061100.0,0.07
130,MAJOR,8295600,4497260.0,2.8
131,MALEE,1050700,156200.0,-0.15
132,MBK,5783900,3406840.0,0.7
133,MC,3227600,3183520.0,-0.25
134,MDX,4216300,2236060.0,0.3
135,MEGA,3273100,2369180.0,1.0
136,META,18448900,11990880.0,0.05
137,MFEC,613500,356920.0,0.0
138,MGT,2423500,1941160.0,0.3
139,MICRO,17458600,15004140.0,0.15
140,MIDA,159984800,24599640.0,0.09
141,MIPF,1100,0.0,0.4
142,MM,473100,274320.0,-0.0
143,MNIT,18400,10740.0,0.01
144,MONO,26644200,19328220.0,-0.02
145,MORE,54527100,29251440.0,0.0
146,MPG,14669700,7427500.0,0.02
147,MTI,50200,36300.0,-0.5
148,MVP,33068300,8495340.0,2.48
149,NBC,13620800,386860.0,0.12
150,NDR,11060100,1929100.0,0.16
151,NEP,797000,177000.0,0.03
152,NER,36365300,18659520.0,0.65
153,NEWS,453158000,28227780.0,-0.01
154,NKI,1400,0.0,-1.0
155,NUSA,202695800,9998340.0,0.07
156,OCC,2500,1580.0,0.5
157,OISHI,29900,24840.0,1.75
158,PACO,4093300,3357820.0,0.1
159,PAF,22401600,4051360.0,0.18
160,PATO,77500,71140.0,-0.0
161,PB,18700,5160.0,0.25
162,PDI,7476800,398060.0,0.3
163,PERM,12214300,12169340.0,-0.34
164,PF,187292700,60945840.0,0.03
165,PJW,10255800,6618920.0,-0.05
166,PLAT,2001600,1874820.0,-0.0
167,PMTA,50500,48160.0,0.2
168,POPF,204200,98860.0,0.2
169,PPF,13800,3360.0,-0.0
170,PPP,418300,275620.0,-0.04
171,PPPM,10612000,2825000.0,0.12
172,PR9,759600,640240.0,0.05
173,PRAKIT,16200,9960.0,0.0
174,PRAPAT,44454300,17271780.0,0.07
175,PRG,8500,6640.0,0.0
176,PRIME,6297300,5307640.0,-0.16
177,PROSPECT,128300,75880.0,0.05
178,PSL,38461600,14055580.0,3.2
179,PSTC,193369500,34103320.0,0.32
180,PT,694100,320340.0,0.0
181,PTTGC,21505100,18384300.0,-2.75
182,Q-CON,428100,348940.0,-0.05
183,QHOP,5600,3660.0,-0.06
184,QLT,99700,63280.0,0.04
185,RICHY,6457200,5177600.0,0.03
186,ROCK,200,20.0,0.45
187,ROH,2600,280.0,-0.5
188,RPH,675500,427220.0,0.05
189,RSP,7310400,695580.0,0.24
190,SABUY,15613600,8789960.0,2.65
191,SAK,14950600,7410180.0,-0.4
192,SAT,2432200,2141680.0,-0.9
193,SBPF,227200,17160.0,0.04
194,SE-ED,132600,122420.0,0.26
195,SEAOIL,62935300,8856880.0,0.04
196,SF,33721700,5467320.0,2.7
197,SGF,36889500,21210540.0,0.02
198,SGP,26055700,2682900.0,0.9
199,SHANG,9600,3780.0,3.0
200,SHR,23205100,18993800.0,0.32
201,SIMAT,29850700,16104280.0,0.45
202,SINGER,4766400,2077060.0,-3.75
203,SISB,2245600,1483240.0,0.0
204,SITHAI,68990500,27905920.0,0.26
205,SKY,950000,510800.0,0.4
206,SLP,8062100,2179000.0,0.03
207,SMK,24700,7600.0,0.0
208,SMT,110847900,10851420.0,1.8
209,SNC,741000,519340.0,0.1
210,SNP,1116200,98780.0,0.1
211,SO,9458300,639480.0,1.6
212,SPACK,1009000,808700.0,0.26
213,SPC,23400,6120.0,-0.25
214,SPCG,6662700,5086020.0,-0.2
215,SPRIME,325100,97100.0,0.2
216,SPVI,4622300,2075620.0,-0.65
217,SR,5963700,553400.0,0.32
218,SRICHA,6143200,1510340.0,6.1
219,SRIPANWA,95000,59880.0,0.6
220,SSC,3100,1240.0,0.0
221,SSF,26500,11280.0,-0.25
222,STA,32176100,16247320.0,-4.0
223,STAR,210000,160680.0,0.7
224,SUC,93200,29660.0,1.0
225,SYMC,90400,26200.0,-0.05
226,SYNEX,2466200,2440540.0,-1.0
227,SYNTEC,88345100,65454020.0,-0.06
228,T,52913100,41851820.0,0.01
229,TAPAC,9643200,8833020.0,0.86
230,TASCO,15507900,5670320.0,0.5
231,TC,1064900,739400.0,-0.25
232,TCAP,6453600,6374560.0,0.75
233,TCC,106561500,6554720.0,0.09
234,TFI,11059600,6672620.0,0.03
235,THANA,443800,213940.0,0.02
236,THANI,174289800,27584080.0,0.36
237,TIF1,14800,11020.0,0.1
238,TIP,2687800,1544440.0,0.75
239,TIPCO,13535000,1042900.0,0.7
240,TISCO,5377500,3157240.0,1.0
241,TITLE,712100,446920.0,0.16
242,TKT,1958800,595000.0,0.19
243,TLHPF,102000,12800.0,0.1
244,TMB,249495300,248667440.0,-0.01
245,TMC,287500,185960.0,-0.03
246,TMD,17300,6880.0,0.1
247,TMILL,1236300,413980.0,0.06
248,TNH,19300,12520.0,-0.25
249,TNPF,21100,6420.0,0.03
250,TNR,200400,47840.0,1.2
251,TPCORP,10900,5020.0,-0.1
252,TPOLY,42923000,2034060.0,-0.02
253,TPRIME,333000,87100.0,-0.05
254,TQM,1122900,753600.0,3.0
255,TRITN,157953100,84463460.0,-0.01
256,TRUE,185303900,66033460.0,0.18
257,TSTE,142600,12060.0,0.0
258,TTLPF,4300,3920.0,0.1
259,TTW,6347200,3802280.0,0.2
