,Symbols,Vol,Avg,Chg,Price
179,SCM,2167200,732660.0,-0.06,4.860000133514404
180,SINGER,3750400,1781900.0,-2.5,33.75
181,SPC,13000,6920.0,-0.25,59.75
182,SPI,1400,800.0,0.25,60.0
183,BCH,30421500,21151860.0,0.5,22.0
184,BDMS,38184800,28651860.0,0.1,23.100000381469727
185,CHG,281043200,42006500.0,0.22,3.759999990463257
186,CMR,3873700,951060.0,0.14,2.5199999809265137
187,EKH,6076600,2739720.0,0.25,7.099999904632568
188,LPH,791600,445460.0,-0.1,5.150000095367432
189,NEW,1000,40.0,6.0,56.0
190,PR9,4862700,1465420.0,0.4,10.800000190734863
191,PRINC,8436100,1403440.0,-0.04,4.400000095367432
192,RPH,828900,644960.0,-0.05,5.050000190734863
193,THG,6070800,725620.0,2.25,27.75
194,VIBHA,77009800,15196840.0,0.08,2.240000009536743
195,VIH,3426800,2416660.0,0.8,11.399999618530273
196,WPH,510900,302420.0,-0.05,1.9900000095367432
197,AQUA,35102300,22284700.0,-0.01,0.4300000071525574
198,BEC,21506800,19322060.0,-0.2,13.199999809265137
199,GRAMMY,220500,93240.0,-0.2,14.899999618530273
200,JKN,7714500,6422860.0,0.0,10.100000381469727
201,MAJOR,14628900,10651920.0,0.6,25.0
202,MATCH,30800,23840.0,-0.02,1.6699999570846558
203,MCOT,332100,194880.0,-0.2,5.900000095367432
204,MPIC,12800,11220.0,0.05,1.6100000143051147
205,PLANB,17893300,13296000.0,-0.25,6.349999904632568
206,PRAKIT,26400,13200.0,-0.2,9.300000190734863
207,SE-ED,226300,68520.0,0.02,2.059999942779541
208,TBSP,193000,2820.0,3.7,16.100000381469727
209,TH,11007000,8496180.0,-0.04,2.0199999809265137
210,TKS,52152400,3098880.0,0.7,10.800000190734863
211,VGI,23612900,19226260.0,-0.1,6.099999904632568
212,WAVE,26127700,10127760.0,-0.05,0.8999999761581421
213,WORK,5648500,1496020.0,-1.6,21.0
214,SISB,1442500,781380.0,-0.15,9.5
215,SO,1632300,1125160.0,-0.4,10.600000381469727
216,ASIA,4000,1280.0,0.15,5.699999809265137
217,CENTEL,4395300,3599780.0,-0.75,34.0
218,CSR,400,40.0,-0.25,62.75
219,DTC,729300,326380.0,0.3,9.899999618530273
220,ERW,51356800,32088300.0,-0.1,2.8399999141693115
221,GRAND,10492100,9562100.0,0.0,0.550000011920929
222,OHTL,2600,140.0,-6.0,344.0
223,SHANG,1900,480.0,0.0,56.0
224,AOT,45120300,27315920.0,-1.75,64.0
225,BEM,77461800,66201900.0,0.0,8.350000381469727
226,BTS,51831600,39900860.0,-0.15,9.399999618530273
227,BTSGIF,10530900,5202520.0,-0.02,4.960000038146973
228,JWD,15674700,6140560.0,1.1,13.199999809265137
229,KEX,4816700,4803960.0,0.5,39.5
230,NYT,16521400,2568240.0,0.34,4.739999771118164
231,RCL,65078600,28720240.0,-3.0,48.5
232,TFFIF,3767700,3047400.0,-0.05,8.399999618530273
233,WICE,11882800,10402800.0,-0.1,9.899999618530273
234,AIT,270800,101620.0,-0.2,21.600000381469727
235,ALT,2456500,1834940.0,-0.02,2.7200000286102295
236,DIF,17689400,12068220.0,-0.1,12.600000381469727
237,DTAC,11730900,8426240.0,0.0,30.75
238,HUMAN,817800,792600.0,0.15,9.199999809265137
239,ILINK,3454100,2070320.0,0.1,6.900000095367432
240,JASIF,15375700,14857380.0,-0.1,9.75
241,JMART,13204400,6641900.0,-1.25,33.75
242,MSC,181900,88280.0,0.0,6.150000095367432
243,SYNEX,9272000,3387340.0,0.25,26.0
244,THCOM,62614200,39325020.0,0.5,11.800000190734863
