,Symbols,Vol,Avg,Chg,Price
0,EE,52342600,48593020.0,-0.02,1.0800000429153442
1,GFPT,8166900,7230660.0,0.2,11.5
2,MAX,539572600,227158460.0,-0.0,0.009999999776482582
3,CM,1411400,525980.0,0.02,3.0799999237060547
4,ICHI,28611200,20923500.0,-0.4,12.800000190734863
5,KTIS,3533000,115860.0,0.58,4.800000190734863
6,M,1938900,944280.0,-1.0,54.0
7,MALEE,417100,287100.0,0.05,6.900000095367432
8,MINT,22049700,15558880.0,-1.0,30.75
9,NRF,21341500,15785480.0,-0.0,10.399999618530273
10,NSL,10117900,9694260.0,0.4,14.899999618530273
11,PB,31800,2380.0,0.0,69.0
12,PRG,4800,3520.0,-0.1,11.600000381469727
13,RBF,47014200,26404240.0,0.2,20.799999237060547
14,SAPPE,1952700,1414920.0,-0.25,26.0
15,SSC,12800,5440.0,-0.5,32.25
16,TC,2788500,771060.0,-0.6,5.900000095367432
17,TFMAMA,16500,3580.0,0.5,190.0
18,TVO,5439200,4043140.0,-1.0,31.5
19,BTNC,600,60.0,0.0,12.0
20,CPH,32200,24420.0,0.02,4.099999904632568
21,NC,1600,1320.0,-0.1,10.600000381469727
22,PG,7400,1760.0,-0.15,6.449999809265137
23,SABINA,1618300,1347760.0,0.0,20.600000381469727
24,SUC,39500,10340.0,-0.75,36.5
25,TNL,1000,720.0,-0.2,16.100000381469727
26,TTT,1200,340.0,0.75,50.5
27,WACOAL,3200,320.0,-0.5,40.0
28,OGC,7000,1040.0,0.25,26.25
29,SIAM,762900,607800.0,-0.05,1.9299999475479126
30,TCMC,9135700,3842880.0,0.03,1.9700000286102295
31,TSR,12822900,6735700.0,-0.24,4.440000057220459
32,DDD,10609500,6217900.0,-0.6,19.0
33,JCT,3000,760.0,-1.0,78.5
34,KISS,5158100,5015100.0,-0.2,13.199999809265137
35,OCC,600,460.0,-0.0,10.399999618530273
36,TNR,980000,118440.0,0.6,14.399999618530273
37,AEC,119421100,30000880.0,-0.08,1.5800000429153442
38,ASP,32867800,30878980.0,-0.16,3.640000104904175
39,KGI,36256900,30829300.0,-0.25,7.050000190734863
40,MBKET,603300,494660.0,-0.3,13.100000381469727
41,ML,11661400,9240120.0,-0.06,1.440000057220459
42,NCAP,9084200,7099500.0,-0.5,11.5
43,PL,425100,293160.0,-0.04,2.640000104904175
44,SAK,19221400,8709420.0,-0.35,9.949999809265137
45,TNITY,8823400,1652280.0,0.05,7.449999809265137
46,KWG,24059400,11277860.0,0.2,2.5199999809265137
47,GYT,200,120.0,0.0,245.0
48,IHL,3385900,2010800.0,0.02,4.380000114440918
49,IRC,68300,64360.0,-0.2,18.100000381469727
50,PCSGH,346100,251440.0,-0.1,5.699999809265137
51,SPG,3400,2560.0,0.1,17.5
52,TNPC,51622700,3670940.0,0.44,2.4600000381469727
53,TSC,13800,7280.0,-0.1,11.800000190734863
54,ASEFA,321700,141740.0,-0.06,4.519999980926514
55,FMT,5200,1680.0,0.0,29.0
56,KKC,1048100,568860.0,-0.01,1.190000057220459
57,PK,62310800,5385340.0,0.38,3.140000104904175
58,TCJ,430800,322060.0,-0.0,4.679999828338623
59,VARO,8400,4340.0,-0.06,4.400000095367432
60,UTP,4125400,1056320.0,-0.5,19.899999618530273
61,BCT,120200,46540.0,-0.75,44.0
62,GGC,2163400,1407580.0,-0.2,10.100000381469727
63,SUTHA,2145000,133760.0,0.14,5.0
64,TCCC,27500,14080.0,-0.5,34.5
65,SFLEX,6268400,1367480.0,0.05,5.699999809265137
66,SITHAI,63405900,57710220.0,-0.04,1.3799999952316284
67,SLP,10065300,1640880.0,-0.0,0.7599999904632568
68,SPACK,4009500,713820.0,0.22,3.059999942779541
69,BSBM,6451900,5603080.0,-0.05,1.4800000190734863
70,MCS,2485600,1785080.0,-0.1,14.100000381469727
71,SAM,10126200,8786500.0,-0.03,1.2000000476837158
72,SSSC,99300,43180.0,-0.06,2.759999990463257
73,TSTH,96852200,68012260.0,-0.07,1.5700000524520874
74,TWP,183600,81900.0,0.02,3.740000009536743
75,EPG,15478400,13354780.0,-0.4,10.699999809265137
76,PPP,1493000,295660.0,0.02,2.119999885559082
77,SCP,472900,333400.0,-0.05,6.199999809265137
78,TOA,3998500,3836700.0,-0.25,32.75
79,UMI,2374700,2116720.0,-0.04,1.3899999856948853
80,AQ,112634100,89940760.0,-0.01,0.019999999552965164
81,CI,1865200,1612080.0,0.01,1.0299999713897705
82,CPN,13000200,9614280.0,-1.5,53.75
83,ESTAR,10757600,9866740.0,-0.01,0.6000000238418579
84,EVER,26287500,21494260.0,-0.01,0.38999998569488525
85,LH,59507200,43314240.0,-0.15,8.25
86,LPN,10212800,8053920.0,-0.1,5.199999809265137
87,NCH,6725000,4061300.0,0.01,1.6799999475479126
88,NNCL,7052100,2344060.0,-0.04,2.5999999046325684
89,NOBLE,10999700,6357380.0,-0.15,7.5
90,ORI,12283600,11632800.0,-0.15,8.800000190734863
91,PRIN,601000,118220.0,-0.08,2.180000066757202
92,PSH,2904100,1352920.0,-0.1,14.0
93,SA,1814300,1568200.0,0.0,6.650000095367432
94,UV,5668500,5654180.0,-0.2,4.159999847412109
95,BJCHI,8160900,3330120.0,0.0,2.1600000858306885
96,NWR,51876200,32571860.0,-0.03,1.1699999570846558
97,PLE,7237400,6937700.0,-0.02,0.9700000286102295
98,STPI,59889000,4165920.0,0.12,4.599999904632568
99,TRC,25817400,17557380.0,0.0,0.14000000059604645
100,TTCL,6622500,5986300.0,0.06,4.539999961853027
101,WGE,3074300,3002840.0,-0.04,2.0799999237060547
102,7UP,504630200,152826540.0,0.16,1.9700000286102295
103,AKR,144681400,10713320.0,0.02,1.0499999523162842
104,BCPG,10836300,4756780.0,-0.2,13.399999618530273
105,BGRIM,6391400,6129440.0,-0.75,42.5
106,BRRGIF,22000,20240.0,-0.05,5.699999809265137
107,EGCO,3622500,1501160.0,-5.0,175.5
108,EP,31035600,1915600.0,0.55,6.449999809265137
109,ESSO,17548000,17042220.0,0.15,8.350000381469727
110,GREEN,108854500,3494940.0,0.18,1.809999942779541
111,PTG,27130300,11867640.0,-0.1,19.0
112,RATCH,96489900,3913360.0,-4.75,47.0
113,RPC,13409900,6804140.0,-0.03,0.949999988079071
114,SKE,33637400,14535500.0,-0.01,1.0800000429153442
115,SOLAR,4237800,2551300.0,0.0,1.590000033378601
116,SPCG,1871300,1070040.0,-0.2,18.700000762939453
117,SUPER,257135600,233591780.0,-0.01,0.9399999976158142
118,TAE,2455100,2379100.0,-0.06,2.5
119,TPIPP,12304900,9482780.0,-0.04,4.360000133514404
120,TTW,15089800,7505880.0,-0.1,11.800000190734863
121,WHAUP,6775800,6720080.0,-0.04,4.300000190734863
122,B52,10953400,9874400.0,-0.05,0.6800000071525574
123,BJC,3246200,3225140.0,-0.25,34.75
124,CPW,31873700,7882620.0,-0.12,3.9600000381469727
125,CRC,11984400,7232640.0,-1.0,35.25
126,DOHOME,5840400,5688640.0,-0.25,25.0
127,HMPRO,34585600,25876500.0,-0.2,14.800000190734863
128,IT,959100,784800.0,-0.3,5.199999809265137
129,KAMART,1859800,1644060.0,-0.0,4.099999904632568
130,MAKRO,1215200,1164560.0,0.25,38.0
131,MC,3425500,2084160.0,-0.15,9.300000190734863
132,RS,29287600,18102040.0,0.0,25.0
133,SCM,1057900,732660.0,-0.02,4.900000095367432
134,BCH,22715800,21151860.0,0.3,21.799999237060547
135,CHG,142406100,42006500.0,0.16,3.700000047683716
136,CMR,15389000,951060.0,0.28,2.6600000858306885
137,EKH,13127700,2739720.0,0.2,7.050000190734863
138,LPH,1114200,445460.0,0.0,5.25
139,PR9,7587100,1465420.0,0.2,10.600000381469727
140,PRINC,10752000,1403440.0,0.18,4.619999885559082
141,SKR,264400,238620.0,0.05,9.899999618530273
142,THG,3056700,725620.0,0.5,26.0
143,VIBHA,194323600,15196840.0,0.16,2.319999933242798
144,VIH,4339900,2416660.0,0.7,11.300000190734863
145,WPH,333400,302420.0,-0.0,2.0399999618530273
146,AQUA,92255100,22284700.0,-0.01,0.4300000071525574
147,BEC,22043100,19322060.0,-0.2,13.199999809265137
148,GRAMMY,146600,93240.0,-0.1,15.0
149,JKN,18253500,6422860.0,0.1,10.199999809265137
150,MAJOR,19583900,10651920.0,-0.0,24.399999618530273
151,MATCH,42500,23840.0,-0.02,1.6699999570846558
152,MCOT,343900,194880.0,-0.2,5.900000095367432
153,MONO,26174800,8587240.0,0.0,1.9600000381469727
154,MPIC,42000,11220.0,0.03,1.590000033378601
155,PLANB,15501300,13296000.0,-0.05,6.550000190734863
156,SE-ED,78400,56860.0,-0.06,2.0399999618530273
157,TH,17463900,5574420.0,-0.0,2.059999942779541
158,TKS,5740000,2502040.0,0.2,10.100000381469727
159,VGI,22604200,17561160.0,-0.05,6.199999809265137
160,WORK,2741100,1657580.0,-0.9,22.600000381469727
161,SISB,1089100,620340.0,0.05,9.649999618530273
162,ASIA,1600,1060.0,-0.15,5.550000190734863
163,CENTEL,4257000,3677760.0,0.0,34.75
164,DTC,729300,326380.0,0.3,9.899999618530273
165,ERW,70595400,20359640.0,-0.18,2.940000057220459
166,SHANG,800,340.0,-0.5,56.0
167,BTS,51174500,39107380.0,-0.1,9.550000190734863
168,JWD,7813700,4860620.0,-0.6,12.100000381469727
169,RCL,70785300,17330420.0,-3.0,51.5
170,TSTE,64000,22080.0,0.0,7.050000190734863
171,TTA,63320000,45896240.0,0.3,16.100000381469727
172,CCET,24610100,23550200.0,-0.04,3.3399999141693115
173,AIT,93400,87620.0,-0.0,21.799999237060547
174,DIF,16048300,10673180.0,-0.0,12.699999809265137
175,DTAC,12075800,8244860.0,-0.5,30.75
176,ILINK,3254200,1904580.0,0.2,6.800000190734863
177,INET,46612200,23183840.0,-0.2,4.079999923706055
178,JMART,8653400,6522060.0,0.5,35.0
179,MSC,175400,66040.0,-0.05,6.150000095367432
180,PT,1537500,271080.0,-0.05,5.949999809265137
181,SDC,25257800,14656220.0,0.01,0.41999998688697815
182,SIS,9272800,2034420.0,3.25,37.0
183,SVOA,10411000,8907660.0,-0.06,2.140000104904175
184,SYNEX,7237800,2561680.0,0.75,25.75
