,Symbols,Vol,Avg
0,EBANK,15300,12600.0
1,ENGY,27800,16540.0
2,ENY,1900,13820.0
3,GLD,1705800,1370080.0
4,TDEX,429300,576540.0
5,2S,1464700,2127000.0
6,7UP,996105500,238736700.0
7,AAV,70737900,39077780.0
8,ABICO,36700,33440.0
9,ACAP,5802000,1620420.0
10,ACC,12571700,5999520.0
11,ACE,94892000,43035240.0
12,ADB,21810000,30647620.0
13,ADVANC,4397600,6025620.0
14,AEC,184869800,129804400.0
15,AEONTS,357200,409580.0
16,AF,724600,329820.0
17,AFC,143000,428040.0
18,AGE,15738600,42287580.0
19,AH,5978000,2553000.0
20,AHC,22600,21320.0
21,AI,28568800,21609580.0
22,AIE,37731200,73965520.0
23,AIMCG,665000,465320.0
24,AIMIRT,255400,193620.0
25,AIT,276300,210000.0
26,AKP,7800700,3501100.0
27,AKR,19857400,16737820.0
28,ALL,47036200,44805880.0
29,ALT,5140000,6478460.0
30,AMA,2080100,3192100.0
31,AMATAR,362800,63700.0
32,AMATAV,1705700,550880.0
33,AP,29993700,14234060.0
34,APCO,386400,391740.0
35,APURE,10193800,6463800.0
36,AQ,70289100,60870200.0
37,AQUA,43315700,16157000.0
38,ARIN,1164000,422360.0
39,ARIP,3231900,19058980.0
40,ARROW,145000,122280.0
41,AS,14054500,8391060.0
42,ASEFA,105800,171280.0
43,ASIA,8600,10960.0
44,ASIAN,14920000,15836060.0
45,ASIMAR,16576000,4973920.0
46,ASP,169163300,66986920.0
47,AU,4061600,4615720.0
48,AWC,177074600,71692040.0
49,B,110775300,207518900.0
50,BA,9944400,3970480.0
51,BAFS,620800,671060.0
52,BANPU,149781100,120721920.0
53,BAY,1362600,723060.0
54,BBL,9595400,7206220.0
55,BC,14657500,344700.0
56,BCH,25703200,26005240.0
57,BCP,8697100,4419400.0
58,BCPG,7148800,4988620.0
59,BEAUTY,225510500,68299580.0
60,BGT,162000,150380.0
61,BH,729400,1045100.0
62,BIG,16089900,22264560.0
63,BJC,4694400,4237900.0
64,BKD,691100,625180.0
65,BM,2419800,9338540.0
66,BOFFICE,217800,127860.0
67,BPP,7738300,6543460.0
68,BROCK,162100,49080.0
69,BSM,3512800,7478480.0
70,BTS,58471300,82489100.0
71,BTSGIF,3737600,5843720.0
72,BTW,238600,364480.0
73,BWG,280590500,220125560.0
74,CCP,53271000,40463660.0
75,CEN,21653100,18221840.0
76,CENTEL,4047600,4770820.0
77,CGH,36184000,30198860.0
78,CHEWA,60572100,10236820.0
79,CHOTI,2100,940.0
80,CI,10454300,8117060.0
81,CIMBT,19282300,7216080.0
82,CKP,52238400,19668000.0
83,COLOR,18048400,1833540.0
84,COMAN,2900900,5581040.0
85,CPN,14016900,15049260.0
86,CPNCG,493700,419100.0
87,CPNREIT,2727800,1193960.0
88,CPR,528100,250520.0
89,CPT,1713200,2062380.0
90,CPW,5802400,8346740.0
91,CSC,5800,22320.0
92,CSS,4004300,6483420.0
93,CTARAF,159200,237640.0
94,CTW,158700,112980.0
95,CWT,26948600,50343860.0
96,D,1077600,195540.0
97,DCC,24759300,26154240.0
98,DCON,239450900,57013640.0
99,DDD,15480300,9271440.0
100,DHOUSE,2086000,2213620.0
101,DIF,8707800,8682140.0
102,DIMET,43796200,46950520.0
103,DRT,1448300,1611240.0
104,DTAC,11131100,11693220.0
105,DV8,7670300,1134740.0
106,EE,40279300,28771640.0
107,EFORL,310973100,175883680.0
108,EGATIF,1226500,1782300.0
109,EP,4834900,5063220.0
110,ESSO,22334000,25232080.0
111,ETC,83668100,28995060.0
112,ETE,2706500,6601240.0
113,EVER,119432700,41857620.0
114,FLOYD,1851400,672980.0
115,FMT,21800,4000.0
116,FN,5306300,8533400.0
117,FNS,6537800,2230920.0
118,FORTH,5541500,18403400.0
119,FSMART,10766900,14312780.0
120,FSS,29398400,29172640.0
121,FTE,3555400,4787220.0
122,FTREIT,872300,224520.0
123,FVC,18070000,8692620.0
124,GBX,10851900,15107940.0
125,GC,879300,289960.0
126,GFPT,2116600,4202240.0
127,GIFT,1326600,637840.0
128,GOLDPF,10500,8340.0
129,GPSC,12814800,17668360.0
130,GREEN,58664700,18615200.0
131,GTB,480100,812360.0
132,GULF,9016400,16838740.0
133,GUNKUL,307107300,137246600.0
134,HARN,569300,1028000.0
135,HMPRO,46510700,18339800.0
136,HPT,1977900,1424780.0
137,HREIT,554900,404900.0
138,HTECH,6582900,9494100.0
139,HYDRO,54679100,17536300.0
140,ICC,300,4760.0
141,ICN,17050000,6370220.0
142,IFS,884800,416460.0
143,IHL,20682300,9267200.0
144,IIG,333000,231880.0
145,ILINK,7083300,8431740.0
146,IND,2058900,1495620.0
147,INGRS,32256700,26879440.0
148,INSET,15625900,11333380.0
149,IP,1913600,1059400.0
150,IVL,23467600,18270140.0
151,JAK,682300,7351700.0
152,JCK,11857000,11272680.0
153,JCKH,2227400,1774280.0
154,JCT,4000,1960.0
155,JSP,54078200,26357260.0
156,JUBILE,289500,76380.0
157,KAMART,6563900,1086600.0
158,KASET,2198800,636220.0
159,KBANK,67315600,63474500.0
160,KBS,546900,1250260.0
161,KCAR,137800,48820.0
162,KCE,13697300,22226160.0
163,KCM,17005600,3896220.0
164,KDH,4100,280.0
165,KEX,19192500,8971140.0
166,KGI,58510200,19150800.0
167,KIAT,30735300,26753680.0
168,KISS,26151600,3866480.0
169,KKP,4077100,4316620.0
170,KTB,23173000,25863660.0
171,KTIS,217500,253060.0
172,KUMWEL,3551000,1758500.0
173,KUN,9916700,4879180.0
174,KWG,16109900,1113300.0
175,KYE,3600,3580.0
176,LALIN,996300,293100.0
177,LANNA,6120300,2875140.0
178,LDC,261000,453700.0
179,LH,62538400,52797540.0
180,LHFG,229188100,11872780.0
181,LHHOTEL,98200,225740.0
182,LPN,59032100,4426040.0
183,LRH,9300,5200.0
184,LUXF,5800,1320.0
185,M-CHAI,2400,600.0
186,MACO,16324800,15863180.0
187,MAKRO,1763200,2149080.0
188,MALEE,459400,68160.0
189,MATCH,40600,53640.0
190,MATI,15200,17340.0
191,MBK,3881700,3694560.0
192,MBKET,2536300,691260.0
193,MC,3352000,3170200.0
194,MCOT,1890500,3088700.0
195,MCS,20460700,3984360.0
196,MDX,3579800,1870020.0
197,MEGA,2925800,2520720.0
198,META,6927800,13584860.0
199,METCO,16700,12060.0
200,MFC,250300,217440.0
201,MFEC,637800,335160.0
202,MICRO,10059800,13745400.0
203,MINT,26520100,18274000.0
204,MITSIB,1192300,853740.0
205,MJLF,45400,66420.0
206,MNIT,9500,10880.0
207,MODERN,2849000,2661720.0
208,MONO,16940700,19210100.0
209,MOONG,759200,892640.0
210,MORE,34966400,32024100.0
211,MPG,14669700,7427500.0
212,MSC,169900,119740.0
213,MTC,7115600,11643740.0
214,MTI,46600,39020.0
215,NBC,303000,467020.0
216,NDR,2979700,3968700.0
217,NEP,306100,117140.0
218,NETBAY,633200,392760.0
219,NFC,10600,8540.0
220,NINE,77000,260520.0
221,NMG,44020300,4946440.0
222,NNCL,27576700,3066840.0
223,NOBLE,39619100,12172940.0
224,NOVA,114200,25220.0
225,NRF,74777400,13025060.0
226,NTV,166300,75120.0
227,NUSA,7484500,11957880.0
228,OCC,2500,1580.0
229,OCEAN,43205000,7705560.0
230,OGC,82300,26280.0
231,OISHI,27100,24880.0
232,PAF,10692700,2315760.0
233,PCSGH,386200,207640.0
234,PDG,313400,418100.0
235,PDI,530400,402980.0
236,PDJ,3685800,2419040.0
237,PHOL,4571600,5627100.0
238,PICO,34700,29300.0
239,PIMO,55764300,13372560.0
240,PJW,15407200,4578620.0
241,PL,441300,273660.0
242,PLANB,10730800,15534040.0
243,PLANET,3027800,4714240.0
244,PLAT,4569000,1180400.0
245,PM,5273000,2542520.0
246,PORT,29678500,13248700.0
247,PPS,20749600,12617680.0
248,PREB,194200,286180.0
249,PRECHA,631300,1356360.0
250,PRG,16200,5920.0
251,PRIME,8611500,5152320.0
252,PRIN,1229100,302580.0
253,PRM,39383100,25493740.0
254,PROS,32609800,16407960.0
255,PROSPECT,195700,90020.0
256,PSH,14110400,5803300.0
257,PT,560600,322340.0
258,PTT,76905100,102217320.0
259,PTTEP,6002000,10204740.0
260,PTTGC,16411000,19132000.0
261,Q-CON,893500,182280.0
262,QH,47955200,25997320.0
263,QHOP,17400,220.0
264,RAM,64400,29640.0
265,RCI,870000,1428240.0
266,RICHY,10563600,4457360.0
267,RJH,253700,264100.0
268,RML,70114200,117514040.0
269,ROCK,100,40.0
270,ROH,1200,40.0
271,ROJNA,160924700,15117220.0
272,RP,248600,336080.0
273,RS,10083400,9560960.0
274,RWI,4046800,5155620.0
275,SAAM,1638500,3996280.0
276,SABINA,589600,649340.0
277,SABUY,14796700,6325920.0
278,SALEE,26028100,11681860.0
279,SAMCO,25645200,4254780.0
280,SAMTEL,2884400,506200.0
281,SANKO,2580200,1809560.0
282,SAPPE,2836100,2507020.0
283,SAUCE,37300,10600.0
284,SC,3295300,5757000.0
285,SCC,3626400,2734740.0
286,SCCC,266400,509540.0
287,SCI,25040600,7816640.0
288,SCM,4897000,1434380.0
289,SCN,19607900,9303420.0
290,SCP,749400,536440.0
291,SDC,99452000,15982340.0
292,SE,2167500,1436840.0
293,SE-ED,279900,170660.0
294,SELIC,5138000,1730680.0
295,SF,8254600,5174900.0
296,SFLEX,6848300,4413820.0
297,SFP,1000,300.0
298,SFT,2741800,1793180.0
299,SGP,3114800,2936420.0
300,SHREIT,13900,19380.0
301,SIMAT,5376200,15687020.0
302,SIRI,766679100,1174921620.0
303,SIS,4122300,1577600.0
304,SKE,22655700,23773580.0
305,SKN,27508300,9841620.0
306,SKR,667600,803240.0
307,SLP,4178600,1374340.0
308,SMIT,192000,287720.0
309,SMPC,2320500,864080.0
310,SNC,711200,625700.0
311,SNP,215900,68100.0
312,SO,1126500,620740.0
313,SONIC,41381500,78714500.0
314,SORKON,792600,613080.0
315,SPALI,10266900,7328440.0
316,SPG,7600,1580.0
317,SPRIME,284100,45640.0
318,SR,585300,642200.0
319,SRICHA,2507800,1046760.0
320,SSC,1700,1440.0
321,SSSC,309200,171640.0
322,STANLY,146500,61680.0
323,STAR,462500,102880.0
324,STARK,49085600,43235820.0
325,STC,27873300,1207400.0
326,SUN,40362100,10755600.0
327,SUPER,1089607100,492569640.0
328,SUSCO,7283700,846340.0
329,SVOA,26191300,20212360.0
330,SWC,310700,188220.0
331,SYMC,20600,26520.0
332,SYNEX,5672100,2231920.0
333,T,30352100,37952940.0
334,TAE,6539700,6285860.0
335,TC,877200,682640.0
336,TCJ,3646300,2189700.0
337,TCMC,27259000,15486060.0
338,TEAM,13813100,11790760.0
339,TEAMG,38948500,9176920.0
340,TFI,8759500,5356700.0
341,TGH,1900,5680.0
342,THCOM,21433700,32392160.0
343,THG,1280300,858380.0
344,THIP,64200,44220.0
345,THMUI,13843100,2949320.0
346,TIGER,257000,261360.0
347,TISCO,4092500,3622440.0
348,TKN,16423700,10087440.0
349,TKS,7221600,6169040.0
350,TLHPF,8500,11740.0
351,TM,5593700,7240600.0
352,TMC,273800,172400.0
353,TMILL,369200,458240.0
354,TMT,6396200,2211200.0
355,TNDT,3668000,1729720.0
356,TNITY,7422500,1442000.0
357,TNP,9045700,10826320.0
358,TNPF,20000,3960.0
359,TPAC,3452600,758380.0
360,TPBI,885600,486520.0
361,TPCH,960000,631340.0
362,TPCORP,10900,5020.0
363,TPIPP,27391300,20450800.0
364,TPP,9700,4340.0
365,TRITN,244969900,46405500.0
366,TRT,555300,872540.0
367,TRU,34000,130180.0
368,TRUE,42210600,81078700.0
369,TSC,19900,15180.0
370,TSE,11478100,62733760.0
371,TSI,4695800,1587240.0
372,TSR,14331100,8917880.0
373,TSTE,13600,9640.0
374,TTW,5600200,4616280.0
375,TVI,774200,910800.0
376,TYCN,353500,219280.0
377,UBIS,730500,371260.0
378,UOBKH,1235200,364940.0
379,UP,11200,4500.0
380,UPA,28136300,32869820.0
381,UPF,4400,4420.0
382,UPOIC,89700,92740.0
383,UREKA,1747900,1384020.0
384,UTP,6520300,2532800.0
385,UV,12012400,8410720.0
386,UVAN,717700,372840.0
387,UWC,99179300,199437040.0
388,VCOM,4741700,2593380.0
389,VGI,42615600,36512020.0
390,VIBHA,24250300,30351780.0
391,VL,29517000,36473700.0
392,VNG,1773800,962180.0
393,VRANDA,490500,198260.0
394,WACOAL,1700,1500.0
395,WGE,3097200,11030400.0
396,WHA,91943500,161174500.0
397,WHART,548400,492360.0
398,WHAUP,6781400,8780740.0
399,WICE,26297900,56532860.0
400,WIIK,4614200,5328760.0
401,WIN,3141400,6247320.0
402,WINNER,734500,1178960.0
403,YGG,211400,213840.0
404,YUASA,60500,50480.0
405,ZIGA,9263900,10246160.0
