,Symbols,Vol,Avg,Chg,Price
0,CHINA,287700,231360.0,-0.12,8.039999961853027
1,EBANK,12400,11100.0,-0.08,4.550000190734863
2,3K-BAT,200,140.0,-0.5,70.0
3,ABM,5491300,1787440.0,0.04,1.340000033378601
4,AEONTS,1092200,447540.0,4.0,207.0
5,AGE,36098600,34619480.0,-0.32,3.700000047683716
6,AKP,5846800,3898580.0,0.01,1.909999966621399
7,AMANAH,31497700,18824660.0,-0.05,6.050000190734863
8,APCS,862100,789940.0,0.05,5.449999809265137
9,APP,4364100,2138420.0,0.1,4.139999866485596
10,AQ,970164700,198524020.0,0.01,0.029999999329447746
11,AQUA,19166200,17270720.0,-0.0,0.4399999976158142
12,ARROW,634400,334500.0,0.1,9.100000381469727
13,ASIAN,8103400,7762620.0,0.3,14.800000190734863
14,ASK,6009000,3907940.0,0.75,37.5
15,ASN,9600,7460.0,-0.02,4.039999961853027
16,AYUD,14000,1860.0,-1.0,36.0
17,BA,23202600,6036920.0,0.9,9.5
18,BEC,38863700,27999780.0,0.7,14.0
19,BR,5251000,3572940.0,0.1,3.1600000858306885
20,BROOK,178160800,143756760.0,0.03,0.7699999809265137
21,BSBM,8443800,5762800.0,-0.05,1.5700000524520874
22,CPT,9258100,5333100.0,0.03,0.9900000095367432
23,CSP,1406900,777960.0,-0.04,2.0399999618530273
24,CSS,21887900,20762180.0,-0.06,2.180000066757202
25,CWT,22457800,11009300.0,-0.06,4.21999979019165
26,DOHOME,4577400,4493180.0,0.5,26.25
27,DRT,1508800,939320.0,0.35,8.5
28,DTC,651600,223100.0,0.6,9.350000381469727
29,ECF,21893200,14341540.0,0.03,2.0199999809265137
30,ECL,97604800,28144240.0,0.0,2.1600000858306885
31,FN,15767600,1923880.0,0.0,2.4200000762939453
32,FPI,2399100,1386400.0,0.04,2.4600000381469727
33,FTREIT,1103100,918180.0,0.2,13.5
34,GFPT,8344100,4943200.0,0.1,11.600000381469727
35,GLOCON,34015700,17236000.0,0.04,1.159999966621399
36,GRAND,28208200,10730240.0,0.04,0.6100000143051147
37,IFS,5221600,664980.0,0.1,2.8399999141693115
38,IIG,265300,237700.0,0.25,26.25
39,III,42563100,23199900.0,0.8,14.0
40,IMH,16992900,3772760.0,0.4,6.599999904632568
41,INET,12989700,2831060.0,0.16,4.139999866485596
42,INGRS,94888100,73672540.0,-0.02,1.0199999809265137
43,INTUCH,10085900,8075820.0,-0.25,65.0
44,IP,4826400,915820.0,1.4,22.700000762939453
45,JAK,3682100,3077420.0,-0.02,1.8300000429153442
46,JKN,11474800,6486160.0,0.2,10.600000381469727
47,JTS,2970000,2572220.0,1.2,19.600000381469727
48,JUBILE,234400,216700.0,-0.3,24.5
49,KUMWEL,8038700,1795880.0,0.12,2.0799999237060547
50,KUN,68624000,4563100.0,0.16,3.0999999046325684
51,KWG,11627700,3764800.0,0.12,2.0199999809265137
52,KWM,14290200,7697160.0,-0.25,5.900000095367432
53,LALIN,1418200,669980.0,0.3,10.300000190734863
54,LHHOTEL,765200,176680.0,0.45,9.949999809265137
55,LHPF,105000,67800.0,0.4,5.849999904632568
56,LOXLEY,252426300,59701500.0,0.36,3.0399999618530273
57,LPN,28609000,15463780.0,0.2,5.650000095367432
58,LUXF,7600,2360.0,0.25,6.550000190734863
59,MACO,139787400,16061100.0,0.09,0.800000011920929
60,MAJOR,13177900,4497260.0,3.9,25.0
61,MDX,2672500,2236060.0,0.4,6.150000095367432
62,MEGA,12106000,2369180.0,2.25,37.25
63,MIDA,28599300,24599640.0,0.06,0.699999988079071
64,MILL,33524900,20736460.0,-0.03,1.409999966621399
65,MM,473100,274320.0,-0.0,1.8799999952316284
66,MPG,14669700,7427500.0,0.02,0.49000000953674316
67,MVP,11048300,8495340.0,2.58,5.099999904632568
68,NBC,467400,386860.0,0.13,0.9100000262260437
69,NDR,2982100,1929100.0,0.02,3.119999885559082
70,NFC,10600,8540.0,-0.0,4.039999961853027
71,NOVA,114200,25220.0,0.5,12.699999809265137
72,NUSA,38901600,9998340.0,0.05,0.46000000834465027
73,OISHI,62600,24840.0,1.0,44.25
74,PAF,37195900,4051360.0,0.22,2.059999942779541
75,PDI,871600,398060.0,0.3,9.449999809265137
76,PLANET,13284100,4969560.0,-0.14,2.5199999809265137
77,PPF,7800,3360.0,-0.0,11.399999618530273
78,PPPM,4016300,2825000.0,0.1,0.46000000834465027
79,PRIME,7996500,5307640.0,-0.14,2.380000114440918
80,PROUD,17525100,339820.0,0.04,1.149999976158142
81,PSTC,61645500,34103320.0,0.3,2.440000057220459
82,QHHR,890900,350720.0,0.5,6.0
83,ROCK,900,20.0,0.15,9.149999618530273
84,RSP,1605900,695580.0,0.2,2.5199999809265137
85,SABUY,39686900,8789960.0,1.5,9.75
86,SBPF,61700,17160.0,-0.02,2.200000047683716
87,SF,11869800,5467320.0,2.6,10.399999618530273
88,SFP,1000,300.0,1.5,102.0
89,SGF,43581500,21210540.0,0.05,1.309999942779541
90,SGP,5208200,2682900.0,1.2,13.100000381469727
91,SICT,15206600,1188160.0,0.28,4.739999771118164
92,SIMAT,51557200,16104280.0,0.75,5.849999904632568
93,SMT,44018200,10851420.0,1.65,6.800000190734863
94,SO,2153400,639480.0,1.6,11.699999809265137
95,SPI,14800,4740.0,-0.75,60.5
96,SPRIME,276700,97100.0,0.2,7.300000190734863
97,SPVI,3986800,2075620.0,-0.5,6.199999809265137
98,SR,1630300,553400.0,0.31,1.2400000095367432
99,SRICHA,2443200,1510340.0,6.2,22.399999618530273
100,SRIPANWA,66000,59880.0,0.65,8.25
101,SSF,48900,11280.0,-0.05,8.75
102,SSPF,89300,23840.0,0.05,8.300000190734863
103,STA,25032600,16247320.0,-5.25,39.25
104,STC,6710000,6527520.0,-0.05,0.8299999833106995
105,SUC,153400,29660.0,1.25,37.75
106,SVH,1000,520.0,6.0,412.0
107,SVI,18434500,9718040.0,0.1,5.099999904632568
108,SYMC,195100,26200.0,0.0,5.5
109,T,143894000,41851820.0,0.01,0.07999999821186066
110,TAPAC,9938100,8833020.0,0.24,4.980000019073486
111,TASCO,64979900,5670320.0,1.5,21.100000381469727
112,TCC,6877300,6554720.0,0.09,0.49000000953674316
113,TFG,10818400,3954620.0,0.08,4.960000038146973
114,TFI,12295900,6672620.0,0.04,0.28999999165534973
115,THANI,62142400,27584080.0,0.44,4.639999866485596
116,THCOM,40458500,33462140.0,0.6,12.5
117,TIGER,363300,217020.0,0.02,2.9600000381469727
118,TIPCO,2764600,1042900.0,0.7,10.100000381469727
119,TISCO,3422600,3157240.0,0.25,90.0
120,TK,288900,233180.0,0.1,10.0
121,TLHPF,36000,12800.0,0.1,7.75
122,TMB,249495300,248667440.0,-0.01,1.1399999856948853
123,TMC,349200,185960.0,-0.03,1.0199999809265137
124,TNPF,20000,3960.0,-0.02,1.9600000381469727
125,TNR,84800,47840.0,1.5,13.5
126,TPCORP,10900,5020.0,-0.1,13.300000190734863
127,TPRIME,120200,87100.0,-0.05,9.899999618530273
128,TQM,1034000,753600.0,-1.5,115.0
129,TVI,2101100,995180.0,0.65,7.150000095367432
130,UMS,1135400,275900.0,0.38,1.409999966621399
131,UP,196100,6720.0,10.55,27.75
132,UPA,113342100,33419800.0,0.05,0.38999998569488525
133,UREKA,5982500,1581200.0,0.05,0.8799999952316284
134,UTP,3683800,3004400.0,-0.9,20.700000762939453
135,VRANDA,556200,276060.0,0.25,6.900000095367432
136,WACOAL,1700,1500.0,-0.5,40.5
137,WGE,21468200,11345520.0,0.1,2.2799999713897705
138,WHART,772900,474440.0,0.2,13.699999809265137
139,XO,2961400,2478540.0,-0.7,22.0
140,YGG,432700,212440.0,-1.0,20.5
