,Symbols,Vol,Avg,Chg
45,CFRESH,5101000,3137240.0,0.060000009536743004
46,CGD,128909200,61778320.0,-0.019999980926513672
47,CHAYO,21802600,23849000.0,-0.600000190734864
48,CHEWA,32986900,23991600.0,0.02999999523162833
49,CI,6729600,9182460.0,-0.049999957084655655
50,CIG,2890400,2489480.0,0.020000028610229537
51,CITY,285900,335560.0,-0.059999942779541016
52,CMC,9684700,14849360.0,-0.010000009536743182
53,CPF,29849700,36782440.0,0.25
54,CPH,11300,16980.0,0.03999986648559606
55,CPL,945800,2062120.0,-1.1444091807533141e-07
56,CPNCG,346300,737400.0,-1.9073486257070726e-07
57,CPT,2149800,2948840.0,-0.010000002384185747
58,CPTGF,86400,405420.0,-3.8146972691777137e-07
59,CRD,3669200,9048140.0,0.019999992847442583
60,CSC,3500,8260.0,-0.25
61,CSR,200,0.0,0.0
62,CSS,45460400,5752780.0,0.14000004768371577
63,CTARAF,88300,58020.0,0.0
64,CTW,130400,181060.0,-0.05000000000000071
65,CWT,9123600,11964740.0,0.09999980926513707
66,DHOUSE,1900300,2509180.0,-0.010000028610229528
67,DIF,10439500,14112220.0,-0.10000019073486399
68,DOHOME,4855400,4469420.0,0.5
69,DRT,878400,964900.0,0.19999961853027326
70,EA,8542200,20779520.0,0.25
71,EE,79729300,17720320.0,2.622604367008563e-08
72,EGCO,1621000,2745820.0,1.0
73,EKH,2582000,8770060.0,-0.050000095367431996
74,EPG,13354500,14034560.0,0.3000001907348633
75,ERW,12579100,13500960.0,-0.05999991416931172
76,ETE,2716700,2246260.0,-0.06000011444091813
77,FSMART,12257400,9485080.0,0.3000001907348633
78,FVC,38421800,9746580.0,0.019999990463256845
79,GEL,18346300,49772480.0,7.152557379708213e-09
80,GFPT,3474100,4059160.0,1.9073486257070726e-07
81,GIFT,3518100,933820.0,0.09999991416931131
82,GOLDPF,14200,17200.0,-0.1000001907348631
83,GPI,764300,1018880.0,0.009999976158142188
84,GUNKUL,211370800,290347300.0,-0.02000013351440444
85,HANA,14183200,24664660.0,0.5
86,HPF,88800,153360.0,-1.1444091807533141e-07
87,HREIT,520200,355440.0,3.8146972691777137e-07
88,HUMAN,828200,1172020.0,0.15000038146972727
89,IFS,1227600,500500.0,0.060000009536743004
90,IIG,398100,195520.0,0.75
91,ILINK,3394300,3322600.0,-0.2999999999999998
92,ILM,811200,902860.0,0.299999618530272
93,IND,2002900,3154460.0,-0.009999990463256836
94,INGRS,137544500,18347800.0,0.04000001907348638
95,INSET,23981400,22123220.0,0.05999988555908242
96,IP,1377400,958560.0,0.49999961853027486
97,IRC,25300,36740.0,-0.09999923706054759
98,J,8345000,5936300.0,0.019999952316284375
99,JAS,767409300,72096860.0,0.37999991416931156
100,JASIF,13804600,10113780.0,0.05000019073486328
101,JCT,2000,1560.0,-0.5
102,JTS,8767500,322100.0,3.299999618530272
103,JUTHA,2924700,6521720.0,0.0400000476837159
104,KAMART,1801400,3190100.0,0.06000022888183576
105,KBS,887800,990100.0,-0.13999977111816442
106,KCE,10530200,17381620.0,1.25
107,KCM,10747100,52714780.0,0.02000003814697271
108,KISS,11810300,11633600.0,0.2000003814697262
109,KSL,21099800,33384600.0,-0.20000009536743146
110,KTIS,148700,207240.0,-0.08000020980834943
111,KUMWEL,3014200,1455200.0,0.020000019073486364
112,KWG,4856300,3260500.0,0.10999997615814205
113,KYE,15100,5180.0,4.0
114,LEO,4061500,5696720.0,0.10000038146972656
115,LHHOTEL,287800,344420.0,3.8146972691777137e-07
116,LHPF,287100,92200.0,0.050000095367431996
117,LIT,787100,585800.0,0.0600000190734864
118,LRH,9200,7820.0,-0.25
119,LST,584300,248620.0,-0.1499998092651369
120,MACO,111761800,86486700.0,0.00999997138977049
121,MBK,4313700,5121960.0,0.4000003814697273
122,MC,2943000,2058060.0,-0.05000000000000071
