,Hammer,Price
0,BMSCITH,11.170000076293945
1,BANPU,15.399999618530273
2,BCP,26.0
3,BH,134.0
4,BKI,281.0
5,CTW,7.849999904632568
6,ESSO,8.350000381469727
7,KKP,57.5
8,RCL,60.75
9,SABINA,20.200000762939453
10,STANLY,186.0
11,TCAP,35.25
12,TMW,37.5
13,TQM,115.0
