,Hammer,Price,Volume
0,MINT,30.75,22049700
1,OSP,37.0,7255100
2,TFG,4.940000057220459,4606900
3,STGT,40.75,13312500
4,AP,8.449999809265137,8985200
5,ORI,8.800000190734863,12283600
6,PF,0.49000000953674316,19131000
7,TOP,55.0,9509700
8,DOHOME,25.0,5840400
9,MC,9.300000190734863,3425500
10,CENTEL,34.75,4257000
11,BTSGIF,4.980000019073486,1874800
12,HUMAN,9.050000190734863,642000
13,SYMC,5.400000095367432,17000
