,Hammer,Price
0,APURE,4.440000057220459
1,AUCT,10.399999618530273
2,BFIT,41.0
3,CPN,55.0
4,EGCO,181.0
5,KTC,66.5
6,OISHI,43.0
7,SCCC,178.5
8,SSP,12.899999618530273
9,THREL,3.4800000190734863
