,Hammer,Price
0,ALUCON,174.5
1,ARROW,8.699999809265137
2,AU,9.949999809265137
3,EASTW,9.949999809265137
4,EKH,6.349999904632568
5,MAKRO,35.75
6,MPG,0.49000000953674316
7,S11,6.900000095367432
8,TOP,56.75
9,TPP,23.200000762939453
10,WPH,1.9800000190734863
