,Hammer,Price,Volume
0,M,53.75,1324400
1,OISHI,42.25,30800
2,SSC,32.75,1700
3,SUN,6.75,5903200
4,SUC,36.25,21300
5,KYE,446.0,8200
6,TOG,6.650000095367432,1173500
7,BCT,44.25,74500
8,PF,0.47999998927116394,93469400
9,PSH,13.899999618530273,2251000
10,ITD,2.4800000190734863,157122600
11,SRICHA,20.799999237060547,5052500
12,BGRIM,42.0,7943900
13,OR,30.25,29902000
14,SCI,1.9800000190734863,3838400
15,SPRC,10.199999809265137,15692200
16,SINGER,33.75,3750400
17,AS,10.899999618530273,4324500
18,PLANB,6.349999904632568,17893300
