,MorningStar,Price,Volume
0,STA,39.75,9404200
1,CPH,4.039999961853027,18900
2,SAWANG,9.949999809265137,19700
3,UPF,67.0,4100
4,TSR,4.28000020980835,2294900
5,GBX,1.2899999618530273,6097200
6,MICRO,8.399999618530273,3030200
7,XPG,8.699999809265137,42790400
8,KWG,2.200000047683716,1913400
9,PCSGH,5.550000190734863,46900
10,UAC,4.920000076293945,512400
11,SPACK,3.2200000286102295,6326700
12,TPBI,5.449999809265137,281600
13,CPN,51.75,6179100
14,PRIN,2.119999885559082,451300
15,SYNTEC,2.0,7182500
16,EA,59.75,11654200
17,AMARIN,6.75,57100
18,SAMTEL,6.75,1415400
