,MorningStar,Price,Volume
0,CHOTI,84.0,200
1,ACG,2.8399999141693115,870800
2,GPSC,73.0,13920800
3,MDX,5.550000190734863,1514200
4,OR,30.5,24175000
5,RATCH,45.75,9981000
6,SCG,4.039999961853027,21600
7,SGP,11.5,5052000
8,SOLAR,1.5499999523162842,3461300
9,SPRC,9.699999809265137,6205200
10,SUPER,0.9300000071525574,140314700
11,TAE,2.5,542300
12,TTW,11.699999809265137,5687100
13,B52,0.6800000071525574,2609800
14,BIG,0.6600000262260437,7508800
15,BJC,34.75,2813100
16,CPALL,60.0,18785600
17,CRC,33.5,10101600
18,CSS,2.0799999237060547,3785900
19,ILM,14.899999618530273,2733200
20,MAKRO,37.25,273300
21,MC,9.100000381469727,1255400
22,MIDA,0.6499999761581421,4568300
23,PRINC,4.420000076293945,4242600
24,GPI,2.259999990463257,4072200
25,MATCH,1.6200000047683716,11000
26,MONO,1.8700000047683716,10443500
27,PLANB,6.199999809265137,9427800
28,SE-ED,2.0799999237060547,65200
29,VGI,6.050000190734863,61373300
30,WAVE,0.8899999856948853,5060800
31,WORK,22.200000762939453,974800
32,BWG,0.800000011920929,145518000
33,CENTEL,33.0,786900
34,ERW,2.859999895095825,7123000
35,SHR,3.380000114440918,7776800
36,AAV,2.819999933242798,28160300
37,BEM,8.149999618530273,20975800
38,BTS,9.350000381469727,45715300
39,DMT,13.399999618530273,738900
40,III,12.600000381469727,24319000
41,JUTHA,0.9900000095367432,553400
42,TFFIF,8.350000381469727,1268000
43,TEAM,2.799999952316284,3660800
44,AIT,21.600000381469727,89200
45,DTAC,30.5,5765100
46,JAS,2.9000000953674316,13687200
47,TRUE,3.180000066757202,60668900
