,MorningStar,Price,Volume
0,ZEN,11.600000381469727,66400
1,PG,6.349999904632568,700
2,WACOAL,40.5,100
3,FNS,4.599999904632568,691600
4,MICRO,8.550000190734863,1766300
5,PCSGH,5.599999904632568,119700
6,CMAN,2.6600000858306885,7504300
7,SUTHA,4.920000076293945,269200
8,CSP,2.140000104904175,437200
9,DRT,7.949999809265137,548500
10,BANPU,13.300000190734863,653940900
11,MDX,5.550000190734863,537900
12,OR,30.25,22246700
13,RATCH,45.5,4762200
14,SCG,4.039999961853027,25700
15,SOLAR,1.5299999713897705,1444500
16,SPRC,9.649999618530273,15898800
17,SUPER,0.9300000071525574,52524500
18,TOP,54.5,9593800
19,TTW,11.800000190734863,5249800
20,B52,0.6800000071525574,1847300
21,BIG,0.6600000262260437,6591800
22,CPALL,60.25,16698200
23,CRC,34.25,7832700
24,CSS,2.0799999237060547,2256700
25,ILM,15.600000381469727,10767600
26,MAKRO,37.5,539000
27,MC,9.199999809265137,1589500
28,MIDA,0.6399999856948853,6443000
29,PRINC,4.400000095367432,4485500
30,GPI,2.299999952316284,17195500
31,MATCH,1.6299999952316284,26200
32,MONO,1.9199999570846558,19152200
33,PLANB,6.0,7633500
34,VGI,6.0,22462500
35,WAVE,0.9100000262260437,16348800
36,WORK,22.600000381469727,1280800
37,BWG,0.8100000023841858,70616500
38,PROS,3.059999942779541,1308700
39,CENTEL,33.25,1292800
40,ERW,2.880000114440918,5775700
41,SHR,3.380000114440918,3532400
42,AAV,2.940000057220459,56184700
43,B,0.7200000286102295,27595700
44,BEM,8.199999809265137,14995700
45,BTS,9.350000381469727,19533200
46,DMT,13.5,1694200
47,III,12.699999809265137,6743200
48,JUTHA,1.0099999904632568,398500
49,KEX,38.5,4315800
50,NOK,1.0399999618530273,71488400
51,TEAM,2.819999933242798,915000
52,DTAC,30.5,6774500
53,JAS,2.9000000953674316,14297200
54,JMART,34.25,4114900
55,THCOM,11.600000381469727,22695600
56,TRUE,3.180000066757202,34464900
