,MorningStar,Price,Volume
0,OISHI,42.0,14700
1,LHK,3.4200000762939453,1037000
2,EGCO,172.0,1406300
3,GPSC,71.75,7750500
4,IRPC,3.799999952316284,111360700
5,MDX,5.599999904632568,1922900
6,OR,30.5,13936700
7,RATCH,45.0,23875500
8,SCG,4.079999923706055,29500
9,SCI,1.9700000286102295,2422800
10,SGP,11.399999618530273,3792600
11,SOLAR,1.5099999904632568,3136200
12,SPRC,9.850000381469727,21257000
13,SUPER,0.9300000071525574,129518300
14,TAE,2.4600000381469727,754600
15,TPIPP,4.340000152587891,6463300
16,B52,0.6899999976158142,4096400
17,BIG,0.6600000262260437,12515900
18,BJC,34.25,3309700
19,CPALL,60.0,12142300
20,CRC,34.75,11432800
21,DOHOME,25.0,7409500
22,ILM,14.899999618530273,631100
23,KAMART,4.079999923706055,694100
24,MC,9.100000381469727,2084400
25,MIDA,0.6499999761581421,7206900
26,RSP,2.299999952316284,645700
27,SCM,4.860000133514404,1080000
28,SINGER,33.5,2129600
29,PRINC,4.340000152587891,3857200
30,MATCH,1.6399999856948853,29700
31,MONO,1.9199999570846558,12519500
32,PLANB,6.150000095367432,19916400
33,VGI,6.050000190734863,16707500
34,WAVE,0.8799999952316284,12341000
35,WORK,21.299999237060547,2886700
36,ERW,2.819999933242798,33398500
37,SHR,3.319999933242798,9935400
38,ASIMAR,2.700000047683716,1758000
39,BA,9.5,4769400
40,BEM,8.399999618530273,65258400
41,BTS,9.449999809265137,47048100
42,DMT,13.5,2117000
43,III,12.300000190734863,29276300
44,JUTHA,0.9800000190734863,1230000
45,RCL,48.0,34561700
46,TFFIF,8.350000381469727,3036200
47,CCET,3.299999952316284,11978900
48,TEAM,2.7200000286102295,2301200
49,AIT,21.600000381469727,93700
50,DTAC,30.5,3789300
51,HUMAN,9.100000381469727,199000
52,JAS,2.7799999713897705,26013600
53,JASIF,9.75,4699800
54,JMART,33.75,5281800
55,SAMTEL,6.5,269700
56,TRUE,3.2200000286102295,41908400
