,MorningStar,Price
0,1DIV,10.270000457763672
1,AGE,3.4200000762939453
2,AMC,3.9600000381469727
3,BPP,18.799999237060547
4,BROOK,0.7200000286102295
5,CGD,0.6800000071525574
6,DDD,22.399999618530273
7,DELTA,530.0
8,EA,61.75
9,JKN,10.199999809265137
10,K,1.399999976158142
11,KISS,13.300000190734863
12,KSL,4.0
13,MBKET,13.600000381469727
14,NOBLE,7.550000190734863
15,SANKO,1.1699999570846558
16,SAWAD,72.5
17,SELIC,3.359999895095825
18,SPACK,3.0199999809265137
19,SPI,60.0
20,TPOLY,2.2200000286102295
21,UMI,1.4600000381469727
22,ZIGA,5.5
