,MorningStar,Price
0,AGE,3.680000066757202
1,BOL,9.399999618530273
2,GGC,10.300000190734863
3,GLOBAL,21.399999618530273
4,ITEL,4.119999885559082
5,K,1.4800000190734863
6,M-CHAI,182.0
7,MALEE,7.050000190734863
8,MILL,1.3899999856948853
9,NCAP,12.699999809265137
10,NETBAY,26.5
11,NRF,9.699999809265137
12,OTO,5.449999809265137
13,PAP,5.199999809265137
14,PLANET,2.4800000190734863
15,PTTGC,59.25
16,SAK,10.899999618530273
17,SAM,1.350000023841858
18,SCC,420.0
19,SINGER,36.25
20,SOLAR,1.6799999475479126
21,SPCG,18.799999237060547
22,SPVI,6.050000190734863
23,STA,39.25
24,STARK,4.019999980926514
25,STEC,14.800000190734863
26,STGT,40.5
27,STI,8.149999618530273
28,SYNEX,25.0
29,TGH,32.75
30,THE,3.059999942779541
31,TNPC,1.7999999523162842
32,TQR,18.899999618530273
33,TTCL,4.880000114440918
34,UEC,1.6699999570846558
35,UTP,20.600000381469727
36,VNT,37.5
37,YGG,20.600000381469727
