,MorningStar,Price,Volume
0,PRG,11.5,100
1,SST,4.199999809265137,6600
2,GYT,235.0,1800
3,SAT,22.0,3861100
4,AWC,4.300000190734863,204368900
5,MBK,13.300000190734863,1290200
6,EGCO,171.5,1851300
7,GPSC,72.5,7424600
8,MDX,5.599999904632568,1235600
9,OR,30.25,12295400
10,RATCH,45.75,6728600
11,SCG,4.059999942779541,13500
12,SOLAR,1.5199999809265137,2276600
13,SPRC,9.800000190734863,7551000
14,SUPER,0.9300000071525574,46361300
15,TAE,2.5199999809265137,588000
16,TOP,55.25,15727700
17,TPIPP,4.340000152587891,10569000
18,TTW,11.899999618530273,4250600
19,B52,0.7099999785423279,5425500
20,BIG,0.6700000166893005,6922100
21,BJC,34.5,4610100
22,CPALL,59.75,21078900
23,CRC,34.5,7952600
24,CSS,2.0799999237060547,4924800
25,ILM,15.100000381469727,908300
26,KAMART,4.099999904632568,973200
27,MAKRO,37.25,454200
28,MC,9.149999618530273,1889400
29,MEGA,36.75,2074800
30,MIDA,0.6499999761581421,5433900
31,RSP,2.3399999141693115,286300
32,SCM,4.900000095367432,912400
33,PRINC,4.380000114440918,2393000
34,GPI,2.240000009536743,18615500
35,MATCH,1.6399999856948853,17500
36,MATI,6.449999809265137,13900
37,MONO,1.9199999570846558,9194100
38,NMG,0.1599999964237213,1982800
39,PLANB,6.199999809265137,5380500
40,SE-ED,2.0399999618530273,135400
41,VGI,5.949999809265137,99784900
42,WAVE,0.8899999856948853,7717200
43,WORK,22.399999618530273,1987900
44,BWG,0.8199999928474426,53848800
45,SISB,9.449999809265137,742500
46,CENTEL,33.25,2932400
47,ERW,2.9000000953674316,22909100
48,SHR,3.380000114440918,4095900
49,AAV,2.819999933242798,30683600
50,BEM,8.149999618530273,39420400
51,BTS,9.449999809265137,16548700
52,DMT,13.5,1330100
53,III,13.199999809265137,20245200
54,JUTHA,1.0,652900
55,NOK,1.4900000095367432,10574800
56,TFFIF,8.350000381469727,2368600
57,SVI,4.860000133514404,1437600
58,TEAM,2.8399999141693115,2918100
59,AIT,21.600000381469727,65100
60,DIF,12.600000381469727,3155800
61,DTAC,30.25,6765600
62,HUMAN,9.100000381469727,187700
63,JAS,2.880000114440918,30650900
64,JASIF,9.75,5278800
65,SDC,0.4099999964237213,2167200
66,SYMC,5.400000095367432,19700
67,THCOM,11.699999809265137,7869400
68,TRUE,3.1600000858306885,52164200
