,MorningStar,Price,Volume
0,PRG,11.5,100
1,SST,4.199999809265137,6600
2,GYT,235.0,1800
3,SAT,22.0,3861100
4,AWC,4.300000190734863,204368900
5,MBK,13.300000190734863,1290200
6,WIN,0.6700000166893005,2687100
7,APCS,5.699999809265137,2011100
8,BKD,2.299999952316284,114500
9,CK,19.0,4540300
10,ITD,2.440000057220459,46316400
11,NWR,1.1299999952316284,34676600
12,PREB,8.25,40600
13,RT,2.5,6006700
14,SQ,2.740000009536743,9390000
15,SRICHA,21.399999618530273,2002600
16,STEC,13.699999809265137,5937600
17,TPOLY,2.119999885559082,839100
18,UNIQ,7.349999904632568,3275900
19,WGE,1.9500000476837158,1460500
20,ACC,0.8999999761581421,2458400
21,AI,2.2799999713897705,11862400
22,BAFS,27.25,836600
23,BCP,25.0,1866200
24,BCPG,13.300000190734863,2648200
25,BGRIM,41.75,6246900
26,BPP,18.200000762939453,3153400
27,DEMCO,4.659999847412109,3481300
28,EA,59.75,9832400
29,EGCO,171.5,1851300
30,GPSC,72.5,7424600
31,MDX,5.599999904632568,1235600
32,OR,30.25,12295400
33,RATCH,45.75,6728600
34,SCG,4.059999942779541,13500
35,SOLAR,1.5199999809265137,2276600
36,SPRC,9.800000190734863,7551000
37,SUPER,0.9300000071525574,46361300
38,TAE,2.5199999809265137,588000
39,TOP,55.25,15727700
40,TPIPP,4.340000152587891,10569000
41,TTW,11.899999618530273,4250600
42,B52,0.7099999785423279,5425500
43,BIG,0.6700000166893005,6922100
44,BJC,34.5,4610100
45,CPALL,59.75,21078900
46,CRC,34.5,7952600
47,CSS,2.0799999237060547,4924800
48,ILM,15.100000381469727,908300
49,KAMART,4.099999904632568,973200
50,MAKRO,37.25,454200
51,MC,9.149999618530273,1889400
52,MEGA,36.75,2074800
53,MIDA,0.6499999761581421,5433900
54,RSP,2.3399999141693115,286300
55,SCM,4.900000095367432,912400
56,PRINC,4.380000114440918,2393000
57,GPI,2.240000009536743,18615500
58,MATCH,1.6399999856948853,17500
59,MATI,6.449999809265137,13900
60,MONO,1.9199999570846558,9194100
61,NMG,0.1599999964237213,1982800
62,PLANB,6.199999809265137,5380500
63,SE-ED,2.0399999618530273,135400
64,VGI,5.949999809265137,99784900
65,WAVE,0.8899999856948853,7717200
66,WORK,22.399999618530273,1987900
67,BWG,0.8199999928474426,53848800
68,SISB,9.449999809265137,742500
69,CENTEL,33.25,2932400
70,ERW,2.9000000953674316,22909100
71,SHR,3.380000114440918,4095900
72,AAV,2.819999933242798,30683600
73,BEM,8.149999618530273,39420400
74,BTS,9.449999809265137,16548700
75,DMT,13.5,1330100
76,III,13.199999809265137,20245200
77,JUTHA,1.0,652900
78,NOK,1.4900000095367432,10574800
79,TFFIF,8.350000381469727,2368600
80,SVI,4.860000133514404,1437600
81,TEAM,2.8399999141693115,2918100
82,AIT,21.600000381469727,65100
83,DIF,12.600000381469727,3155800
84,DTAC,30.25,6765600
85,HUMAN,9.100000381469727,187700
86,JAS,2.880000114440918,30650900
87,JASIF,9.75,5278800
88,SDC,0.4099999964237213,2167200
89,SYMC,5.400000095367432,19700
90,THCOM,11.699999809265137,7869400
91,TRUE,3.1600000858306885,52164200
