,MorningStar,Price,Volume
0,PPPM,0.3499999940395355,48138500.0
1,BRR,6.099999904632568,111200.0
2,HTC,36.25,863300.0
3,SORKON,6.0,855400.0
4,SUC,33.25,57200.0
5,TNL,16.200000762939453,200.0
6,AEC,8.350000381469727,5685700.0
7,XPG,3.880000114440918,29584600.0
8,CMAN,2.359999895095825,394500.0
9,SUTHA,4.460000038146973,64600.0
10,CEN,2.259999990463257,7912100.0
11,CSP,2.940000057220459,1586900.0
12,TYCN,3.4600000381469727,774300.0
13,RCI,2.859999895095825,145000.0
14,SEAFCO,4.579999923706055,1169800.0
15,TTCL,4.460000038146973,8066300.0
16,BANPU,12.199999809265137,123525400.0
17,EGCO,178.5,1228200.0
18,GPSC,80.75,9087800.0
19,GULF,41.75,62268200.0
20,PDI,9.300000190734863,125500.0
21,PTT,37.25,41794200.0
22,PTTEP,106.5,9890900.0
23,SCI,2.2200000286102295,707100.0
24,TTW,11.699999809265137,5697600.0
25,B52,0.6899999976158142,16859900.0
26,CRC,33.5,7647500.0
27,KAMART,3.759999990463257,271600.0
28,MPIC,1.5700000524520874,32800.0
29,WORK,20.899999618530273,3203300.0
30,BWG,0.699999988079071,60035400.0
31,TSTE,6.949999809265137,100000.0
