,MorningStar,Price
0,ACG,3.0799999237060547
1,AI,2.299999952316284
2,ALLA,2.059999942779541
3,CEN,1.9600000381469727
4,COM7,67.25
5,CPR,4.0
6,CPW,3.819999933242798
7,CSP,2.0799999237060547
8,FANCY,1.1299999952316284
9,GOLDPF,6.699999809265137
10,GRAMMY,15.300000190734863
11,INOX,1.1200000047683716
12,M-CHAI,184.0
13,MALEE,7.0
14,MILL,1.399999976158142
15,NCAP,13.5
16,NETBAY,26.25
17,OTO,5.5
18,PAP,5.099999904632568
19,PLANET,2.359999895095825
20,PTTGC,60.5
21,SAK,11.300000190734863
22,SAM,1.350000023841858
23,SPVI,6.050000190734863
24,STA,40.5
25,STGT,41.5
26,STI,8.100000381469727
27,SYNEX,24.5
28,TNPC,1.809999942779541
29,TQR,18.899999618530273
30,UEC,1.6799999475479126
31,UTP,21.200000762939453
32,YGG,20.600000381469727
