,Name,Price,Volume,Avg
149,DOHOME,25.25,7767500,8204200.0
150,FN,2.319999933242798,4688300,9095820.0
151,FTE,2.0,607100,2067660.0
152,GLOBAL,21.200000762939453,3455600,9378840.0
153,ILM,15.899999618530273,805500,1606720.0
154,KAMART,4.099999904632568,670700,3210680.0
155,LOXLEY,2.7200000286102295,28079200,91999000.0
156,MAKRO,37.75,727100,1590300.0
157,MC,9.449999809265137,1716400,2157420.0
158,RS,25.0,37234500,11687980.0
159,SCM,4.920000076293945,339300,824420.0
160,SPC,60.0,11600,5920.0
161,SPI,59.75,400,4280.0
162,AHC,13.600000381469727,32400,37340.0
163,BDMS,23.0,20587300,29649200.0
164,EKH,6.849999904632568,2320400,2584780.0
165,KDH,84.0,0,1000.0
166,LPH,5.25,479400,447060.0
167,NEW,50.0,0,40.0
168,PR9,10.399999618530273,2360400,1097360.0
169,PRINC,4.440000057220459,1281600,1646400.0
170,RPH,5.099999904632568,1560600,455320.0
171,THG,25.5,448800,692660.0
172,VIBHA,2.1600000858306885,3969600,16757780.0
173,WPH,2.0399999618530273,232400,295240.0
174,AQUA,0.4399999976158142,41664400,17976940.0
175,FE,190.0,0,0.0
176,JKN,10.100000381469727,5462900,8456020.0
177,MATCH,1.690000057220459,30900,19320.0
178,MONO,1.9600000381469727,6472600,12174340.0
179,MPIC,1.559999942779541,15300,9060.0
180,POST,1.100000023841858,0,0.0
181,PRAKIT,9.5,100,14280.0
182,TBSP,12.5,500,2820.0
183,VGI,6.25,20104000,15573760.0
184,WAVE,0.9599999785423279,8359600,12144120.0
185,GENCO,1.1299999952316284,6128100,25331800.0
186,SISB,9.600000381469727,728700,729880.0
187,ASIA,5.699999809265137,500,4920.0
188,CENTEL,34.75,2863300,3729680.0
189,CSR,63.0,0,60.0
190,ERW,3.119999885559082,12422600,20300540.0
191,LRH,33.5,3700,5740.0
192,MANRIN,23.700000762939453,0,1220.0
193,ROH,33.0,0,1480.0
194,VRANDA,6.900000095367432,100800,800180.0
195,AOT,66.0,29049600,23915340.0
196,BEM,8.5,44778100,88889760.0
197,BTS,9.649999618530273,26564100,40137260.0
198,BTSGIF,5.0,3032700,3816780.0
199,DMT,13.600000381469727,2589400,3696220.0
200,KWC,272.0,0,20.0
201,PORT,3.0399999618530273,2506600,3344180.0
202,PRM,7.25,9750100,12863040.0
203,TFFIF,8.399999618530273,2469300,4203780.0
204,THAI,3.319999933242798,0,0.0
205,TSTE,7.050000190734863,52000,30840.0
206,SVI,4.900000095367432,3782600,10438080.0
207,AIT,21.799999237060547,109500,90240.0
208,ALT,2.7799999713897705,1473900,2523140.0
209,BLISS,0.14000000059604645,0,0.0
210,DIF,12.699999809265137,6403200,11794520.0
211,DTAC,31.25,3312200,10230980.0
212,JASIF,9.800000190734863,26421100,11646000.0
213,JR,8.0,3257300,2332360.0
214,MFEC,6.050000190734863,200400,950500.0
215,MSC,6.199999809265137,54800,68800.0
216,PT,6.0,488700,228680.0
217,SYMC,5.449999809265137,56500,82960.0
218,TRUE,3.299999952316284,69017800,80234920.0
