,Name,Price,Volume,Avg
310,SIMAT,5.199999809265137,6308000,16104280.0
311,SINGER,38.5,2548100,2077060.0
312,SIRIP,8.100000381469727,5000,2180.0
313,SIS,31.25,1020800,2094320.0
314,SISB,9.800000190734863,577300,1483240.0
315,SKE,1.100000023841858,12042700,25165480.0
316,SKY,11.5,668700,510800.0
317,SLP,0.7200000286102295,765300,2179000.0
318,SMIT,4.559999942779541,76600,310200.0
319,SMK,37.25,18600,7600.0
320,SMPC,11.300000190734863,1502900,1206140.0
321,SNC,14.199999809265137,653100,519340.0
322,SNP,13.5,104000,98780.0
323,SORKON,4.71999979019165,548100,687420.0
324,SPALI,21.399999618530273,2493000,6693320.0
325,SPC,60.25,5500,6120.0
326,SPCG,19.0,1347400,5086020.0
327,SPG,18.299999237060547,800,2660.0
328,SPI,60.25,700,4740.0
329,SPRC,10.399999618530273,16013900,26553440.0
330,SPRIME,7.150000095367432,267000,97100.0
331,SPVI,6.550000190734863,1929400,2075620.0
332,SSC,33.25,400,1240.0
333,SSF,8.699999809265137,5200,11280.0
334,SSPF,8.550000190734863,500,23840.0
335,SSTRT,5.849999904632568,98800,240280.0
336,STA,44.25,8786700,16247320.0
337,STANLY,181.5,80000,80000.0
338,STARK,4.119999885559082,24427600,43803300.0
339,STGT,43.5,18465200,32488200.0
340,STI,8.25,1108800,991420.0
341,SUC,36.0,5200,29660.0
342,SUSCO,3.2799999713897705,387700,2192020.0
343,SUTHA,4.900000095367432,200900,359400.0
344,SVH,408.0,1700,520.0
345,SVI,5.0,2894900,9718040.0
346,SWC,5.75,83900,211480.0
347,SYMC,5.5,4500,26200.0
348,TACC,7.25,1769300,3005820.0
349,TAE,2.680000066757202,3884600,6629020.0
350,TASCO,19.899999618530273,11867600,5670320.0
351,TBSP,11.800000190734863,0,340.0
352,TC,6.75,511400,739400.0
353,TCAP,35.25,5303300,6374560.0
354,TCCC,35.5,17100,28240.0
355,TFFIF,8.5,7649100,7781500.0
356,TFG,4.739999771118164,8224400,3954620.0
357,TFMAMA,191.0,32100,94320.0
358,TGH,33.0,2600,5280.0
359,THANA,1.5099999904632568,4958000,213940.0
360,THANI,4.179999828338623,10982400,27584080.0
361,THE,3.059999942779541,496000,2511720.0
362,THG,25.0,871800,834760.0
363,THIP,33.5,38900,52760.0
364,THRE,1.4199999570846558,18238300,15671420.0
365,THREL,3.5999999046325684,568200,4820140.0
366,TIF1,8.699999809265137,2100,11020.0
367,TIGER,3.0199999809265137,240400,217020.0
368,TIP,33.75,546400,1544440.0
369,TIPCO,9.300000190734863,1017300,1042900.0
370,TISCO,89.25,6128200,3157240.0
371,TK,9.949999809265137,127500,233180.0
372,TKN,7.699999809265137,4460000,11054300.0
373,TKS,10.199999809265137,2355000,7166020.0
374,TKT,1.5299999713897705,563200,595000.0
375,TLHPF,7.699999809265137,125900,12800.0
376,TMB,1.1399999856948853,249495300,248667440.0
377,TMD,24.0,3500,6880.0
378,TMILL,3.740000009536743,605400,413980.0
379,TMW,37.0,8000,37380.0
380,TNH,31.25,15700,12520.0
381,TNP,6.099999904632568,2171900,12064760.0
382,TNPC,1.809999942779541,538100,291400.0
383,TNPF,1.9800000190734863,13200,6420.0
384,TOA,35.5,2814100,4292120.0
385,TOP,58.5,6759700,14336140.0
386,TPCORP,13.300000190734863,10900,5020.0
387,TPIPP,4.539999961853027,10060700,22148060.0
388,TPRIME,9.899999618530273,76900,87100.0
389,TPS,2.319999933242798,1204700,6744500.0
390,TQM,119.5,849600,753600.0
391,TQR,19.200000762939453,448900,1612840.0
392,TR,32.0,10100,93940.0
393,TRU,4.099999904632568,374500,98600.0
394,TRUBB,3.0999999046325684,38185100,11769380.0
395,TRUE,3.180000066757202,66422100,66033460.0
396,TSC,12.100000381469727,4700,18140.0
