,Engulfing,Price,Volume
0,CPI,3.0799999237060547,12547800
1,ALLA,2.0,8721300
2,KKC,1.1299999952316284,432800
3,UP,26.0,1500
4,NCH,1.6699999570846558,3398300
5,SA,6.650000095367432,1782800
6,SAMCO,1.7400000095367432,914700
7,SF,11.0,21398800
8,SCI,2.180000066757202,17234900
9,BA,10.300000190734863,9891900
10,JMART,35.5,14073300
