,Engulfing,Price,Volume
0,KSL,3.619999885559082,2452600
1,OISHI,44.5,8600
2,TVI,8.300000190734863,635700
3,HTECH,6.25,4664400
4,PLAT,3.059999942779541,811300
5,U,1.940000057220459,967713400
6,MCOT,6.800000190734863,8391100
