,Engulfing,Price
0,AIMIRT,12.300000190734863
1,ASP,3.9000000953674316
2,BIG,0.7400000095367432
3,BLAND,1.1699999570846558
4,CGH,1.1699999570846558
5,DCC,3.0999999046325684
6,LDC,1.350000023841858
7,LEE,2.9000000953674316
8,META,0.800000011920929
9,MOONG,5.300000190734863
10,NCL,3.059999942779541
11,NRF,10.100000381469727
12,PATO,11.300000190734863
13,PHOL,3.680000066757202
14,PREB,8.800000190734863
15,RWI,1.7000000476837158
16,SCI,2.240000009536743
17,SF,10.600000381469727
18,SFT,6.449999809265137
19,TRUE,3.3399999141693115
20,U,1.0800000429153442
21,VPO,1.159999966621399
