,Engulfing,Price,Volume
0,CGH,1.0800000429153442,9379400
1,HTECH,5.650000095367432,7328500
2,GLAND,2.359999895095825,1512900
3,AGE,3.4000000953674316,14870100
4,GPI,2.4000000953674316,75840500
5,WICE,10.300000190734863,11125000
