,Engulfing,Price
0,ENGY,6.119999885559082
1,AP,8.600000381469727
2,CCP,0.6600000262260437
3,CNT,2.180000066757202
4,ETC,3.380000114440918
5,FPI,2.440000057220459
6,GUNKUL,4.380000114440918
7,LDC,1.350000023841858
8,LEE,2.9000000953674316
9,META,0.800000011920929
10,MM,1.8700000047683716
11,MOONG,5.300000190734863
12,NCL,3.059999942779541
13,NRF,10.100000381469727
14,PATO,11.300000190734863
15,PHOL,3.680000066757202
16,PREB,8.800000190734863
17,RWI,1.7000000476837158
18,SCI,2.240000009536743
19,SF,10.600000381469727
20,SFT,6.449999809265137
21,TRUE,3.3399999141693115
22,U,1.0800000429153442
23,VPO,1.159999966621399
