,Engulfing,Price
0,BMSCG,10.84000015258789
1,ACC,0.9399999976158142
2,AIRA,2.119999885559082
3,ASIMAR,2.759999990463257
4,BANPU,14.300000190734863
5,DCC,3.119999885559082
6,FSS,4.400000095367432
7,HMPRO,14.100000381469727
8,HTECH,5.849999904632568
9,IP,21.299999237060547
10,LHK,3.9000000953674316
11,LHPF,5.449999809265137
12,MBK,14.300000190734863
13,MITSIB,1.350000023841858
14,MPIC,1.600000023841858
15,MVP,2.5199999809265137
16,NCL,1.8899999856948853
17,PAF,1.840000033378601
18,PDI,9.149999618530273
19,PORT,3.140000104904175
20,SRIPANWA,7.599999904632568
21,TGPRO,0.36000001430511475
22,TKN,7.800000190734863
23,TMC,1.0499999523162842
24,TVI,6.5
