Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,114.08999633789062,114.22000122070312,112.5,114.22000122070312,113.1402359008789,2071700
2020-01-03,113.1500015258789,115.47000122070312,113.0999984741211,115.33000183105469,114.23973846435547,1424900
2020-01-06,114.5999984741211,115.94999694824219,114.51000213623047,115.93000030517578,114.83406066894531,1840700
2020-01-07,115.52999877929688,116.19999694824219,114.87999725341797,116.01000213623047,114.9133071899414,2325500
2020-01-08,116.0999984741211,116.4800033569336,115.68000030517578,116.08000183105469,114.98265075683594,1824600
2020-01-09,116.18000030517578,117.12000274658203,116.04000091552734,116.12999725341797,115.03217315673828,1634200
2020-01-10,116.30000305175781,116.55999755859375,115.80000305175781,116.19999694824219,115.10150909423828,1289600
2020-01-13,116.45999908447266,118.0,116.3499984741211,117.66000366210938,116.54771423339844,1340900
2020-01-14,117.68000030517578,118.31999969482422,117.36000061035156,118.06999969482422,116.9538345336914,1622400
2020-01-15,118.20999908447266,119.16000366210938,117.8499984741211,118.22000122070312,117.1024169921875,1273000
2020-01-16,118.70999908447266,119.76000213623047,118.52999877929688,119.48999786376953,118.36041259765625,1725800
2020-01-17,119.72000122070312,120.20999908447266,119.41999816894531,119.6500015258789,118.5188980102539,1988000
2020-01-21,119.36000061035156,120.52999877929688,119.2699966430664,120.41000366210938,119.27172088623047,1642200
2020-01-22,120.80000305175781,121.30000305175781,120.23999786376953,120.31999969482422,119.18256378173828,1378200
2020-01-23,120.22000122070312,121.1500015258789,119.58000183105469,121.13999938964844,119.99481201171875,1740600
2020-01-24,121.31999969482422,121.93000030517578,120.4800033569336,121.0,119.85613250732422,1052900
2020-01-27,120.2699966430664,121.30999755859375,119.83000183105469,121.19000244140625,120.04434204101562,1191100
2020-01-28,121.26000213623047,121.87000274658203,120.54000091552734,121.05000305175781,119.90567016601562,1395800
2020-01-29,121.30000305175781,121.86000061035156,120.80999755859375,121.47000122070312,120.32170104980469,1641400
