,Ticker,Volume,Price
0,GLD,300.90058976674993,2.4100000858306885
1,ADB,1052.6891138821452,2.319999933242798
2,AFC,366.3107855361596,11.5
3,AGE,313.0435766553799,4.079999923706055
4,AHC,452.33644859813086,13.5
5,AKP,316.34695579649707,1.7200000286102295
6,ALT,585.6901861668598,2.9200000762939453
7,AMA,403.42887089327826,6.349999904632568
8,ARIP,3031.404204680682,0.75
9,ASIAN,504.54923159533587,15.100000381469727
10,BAFS,302.65261264861624,26.75
11,CI,665.8857459991084,1.0
12,CPT,586.2234622420133,0.9200000166893005
13,CPW,300.92646178156434,4.0
14,CSS,312.67207478288765,2.119999885559082
15,DIF,301.4867559324438,12.300000190734863
16,ECF,510.022009398608,2.140000104904175
17,ESSO,313.94903307428154,8.75
18,ETE,381.0127328460269,2.8399999141693115
19,FORTH,915.5763299553648,11.399999618530273
20,FSMART,3219.406962240617,8.800000190734863
21,GREEN,1168.845288588296,1.7400000095367432
22,GTB,359.85257101761954,0.8799999952316284
23,HARN,445.4695542390987,2.640000104904175
24,ICHI,449.2611556425145,12.5
25,IRCP,370.390779985515,1.7200000286102295
26,JCK,611.2676525692958,1.2699999809265137
27,JSP,496.59833246496794,0.4000000059604645
28,KPNPF,580.9264305177112,6.900000095367432
29,KWG,870.2630718190738,1.7300000190734863
30,LUXF,439.3939393939394,6.300000190734863
31,MATI,445.5066921606119,6.550000190734863
32,MCOT,625.4659815478503,6.900000095367432
33,MFC,358.6141207286582,19.0
34,MICRO,657.4763849847307,9.300000190734863
35,NEW,inf,51.5
36,NNCL,867.6128683427953,2.6600000858306885
37,NSI,617.8660049627791,76.0
38,NVD,1571.741567308672,2.859999895095825
39,PDG,400.00842034355,4.0
40,PG,428.57142857142856,6.349999904632568
41,PHOL,710.0632061994025,3.700000047683716
42,PICO,394.7368421052631,3.240000009536743
43,PM,375.9450537748909,11.300000190734863
44,PPS,534.2338334613985,0.7300000190734863
45,PREB,319.05187835420395,9.0
46,PROUD,1172.1311475409836,1.1100000143051147
47,ROCK,1000.0,9.0
48,SABUY,311.0150651757788,7.5
49,SALEE,877.553348401405,1.3300000429153442
50,SAPPE,498.1774777318582,26.5
51,SC,320.18271729109046,3.1600000858306885
52,SEAOIL,371.511761550839,3.0799999237060547
53,SHANG,395.23809523809524,58.75
54,SHREIT,548.8676996424315,2.9000000953674316
55,SIMAT,526.0582848044531,5.099999904632568
56,SLP,881.598940273503,0.7400000095367432
57,SMART,394.45344264958123,0.949999988079071
58,SORKON,538.395453343907,4.71999979019165
59,SPCG,429.4272412511492,19.100000381469727
60,SR,419.605720471768,0.949999988079071
61,SSF,1088.7096774193549,8.699999809265137
62,SSP,375.88996874422935,13.800000190734863
63,SST,356.8909386869235,4.199999809265137
64,SSTRT,359.6292092319334,5.699999809265137
65,SUN,642.7177409096691,6.849999904632568
66,SUPER,1735.6702426280435,1.059999942779541
67,SVOA,415.1091901028585,2.4200000762939453
68,TCJ,577.8351168239094,4.639999866485596
69,TEAM,818.1901810612592,2.880000114440918
70,TGH,860.576923076923,33.0
71,THREL,324.1584694522155,3.619999885559082
72,TKS,552.1230067383752,10.800000190734863
73,TLHPF,664.0625,7.650000095367432
74,TM,590.3341525408453,3.7799999713897705
75,TNDT,6300.811870100783,2.359999895095825
76,TNP,955.7827690244719,6.199999809265137
77,TNPF,314.4654088050315,1.9600000381469727
78,TPAC,322.02951589164246,17.200000762939453
79,TPIPP,384.14306151645206,4.519999980926514
80,TPRIME,497.4385245901639,9.899999618530273
81,TPS,544.778456239236,2.319999933242798
82,TQR,547.51113693589,19.899999618530273
83,TR,481.92239858906527,32.25
84,TSE,841.0405719764252,2.9800000190734863
85,TSR,898.6267943677426,4.71999979019165
86,TSTE,385.3211009174312,7.0
87,TTCL,327.8298586819645,4.980000019073486
88,UAC,1394.1051888457466,5.300000190734863
89,UREKA,393.7550021185443,0.8299999833106995
90,VCOM,456.2718316408742,7.199999809265137
91,VL,505.14680114280964,2.5199999809265137
92,VRANDA,846.442617089739,6.550000190734863
93,WICE,393.26189627924396,10.300000190734863
94,WIN,4096.253516955428,0.6000000238418579
95,WINNER,591.4392425384136,2.799999952316284
96,WP,362.1125448982307,5.150000095367432
97,ZIGA,1198.2881597717546,5.900000095367432
