,Ticker,pctcmpr,Price,Volume
0,ACC,416.05983909053634,0.949999988079071,11770000
1,ADB,359.21846268111386,2.3399999141693115,59972600
2,ASP,446.7327836907664,4.079999923706055,129620500
3,CGH,1040.6088645774755,1.2000000476837158,81421400
4,CI,432.1862398628273,1.0399999618530273,17341300
5,CSC,393.0957683741648,53.0,35300
6,DIMET,423.2180583105383,0.28999999165534973,104930400
7,EMC,371.2371501722571,0.33000001311302185,462340900
8,FN,630.1950375441933,2.5,23600300
9,FNS,379.8188767032236,4.639999866485596,3657200
10,FSS,726.2512232629666,4.159999847412109,58182600
11,GBX,380.11038040331835,1.4299999475479126,21929100
12,HYDRO,776.5462644628892,0.4000000059604645,32389900
13,ICC,2791.666666666667,32.0,20100
14,KPNPF,726.158038147139,6.900000095367432,53300
15,KWG,707.5990299110753,1.9199999570846558,7877700
16,LUXF,495.76271186440675,6.349999904632568,11700
17,MCS,577.7770778873107,14.699999809265137,11007000
18,NNCL,1266.639632333063,2.8399999141693115,9370600
19,PLAT,319.3587431175242,3.299999952316284,2691300
20,PM,392.96933233947397,11.800000190734863,2952300
21,PORT,406.3716068918212,3.1600000858306885,11967400
22,Q-CON,613.1498470948012,5.5,601500
23,QHOP,1225.3521126760563,2.3399999141693115,17400
24,ROJNA,536.9298638262024,8.300000190734863,81327800
25,SALEE,467.7999554324643,1.309999942779541,17634000
26,SAMTEL,338.1320565494484,7.5,2090400
27,SDC,1538.5707051078214,0.49000000953674316,78383100
28,SLP,644.5046168231581,0.7599999904632568,3308500
29,SRICHA,385.982428115016,16.100000381469727,1739700
30,SSTRT,360.5751040484298,5.699999809265137,190600
31,STAR,422.478386167147,2.119999885559082,146600
32,SUN,472.0630190256401,7.599999904632568,25978100
33,SUPER,774.044847115656,1.0399999618530273,832439100
34,SUSCO,1294.0935899091653,3.359999895095825,6012100
35,TCJ,360.5236497182296,4.800000190734863,2277500
36,TNDT,3997.4804031354984,2.5,2855800
37,TNITY,481.68521755128324,8.050000190734863,5236400
38,TPAC,403.49655913123036,18.5,2028700
39,WIN,321.0869243299274,0.5799999833106995,2168300
