,Ticker,pctcmpr,Price,Volume
0,7UP,417.2402064701405,1.6399999856948853,996105500
1,ACAP,358.05531899137264,1.059999942779541,5802000
2,ACC,209.54509694108862,0.9200000166893005,12571700
3,ACE,220.4983636666137,3.799999952316284,94892000
4,AF,219.69559153477655,0.7599999904632568,724600
5,AH,234.15589502546027,24.200000762939453,5978000
6,AKP,222.80711776298875,1.7599999904632568,7800700
7,AMATAR,569.5447409733124,9.5,362800
8,AMATAV,309.63186174847516,7.900000095367432,1705700
9,AP,210.71781346994462,8.649999618530273,29993700
10,AQUA,268.09246766107566,0.4399999976158142,43315700
11,ARIN,275.59427976134106,0.800000011920929,1164000
12,ASIMAR,333.25827516325154,2.6600000858306885,16576000
13,ASP,252.53183755873536,3.859999895095825,169163300
14,AWC,246.99339006115602,4.940000057220459,177074600
15,B-WORK,201.7677116420384,10.0,292200
16,BA,250.45838286554775,8.149999618530273,9944400
17,BC,4252.248331882796,1.8200000524520874,14657500
18,BEAUTY,330.17845790559767,1.7899999618530273,225510500
19,BROCK,330.27709861450694,1.6100000143051147,162100
20,CHEWA,591.7081671847311,1.090000033378601,60572100
21,CHOTI,223.40425531914892,72.0,2100
22,CIMBT,267.21294664138975,0.8899999856948853,19282300
23,CKP,265.60097620500306,5.900000095367432,52238400
24,COLOR,984.3472190407628,2.0,18048400
25,CPNREIT,228.4666152969949,20.0,2727800
26,CPR,210.80153281175154,4.239999771118164,528100
27,D,551.0892911936177,4.360000133514404,1077600
28,DCON,419.9887956636342,0.6200000047683716,239450900
29,DV8,675.9522005040802,0.6100000143051147,7670300
30,EFORL,223.20866971618722,0.11999999731779099,316825600
31,EMC,581.6859051081985,0.3199999928474426,724435000
32,EP,239.15257813958397,5.949999809265137,11786300
33,ETE,459.38303059588395,2.7799999713897705,16732200
34,FANCY,241.9605055186679,1.2899999618530273,57926700
35,FN,792.2332119244203,2.380000114440918,29668500
36,FNS,777.1269524759056,4.679999828338623,7482800
37,FSS,1352.2148549060335,4.400000095367432,108330800
38,GBX,860.9914129315636,1.4700000286102295,49671800
39,HTECH,276.54237118252865,5.849999904632568,19865200
40,HYDRO,1679.0065739315562,0.4000000059604645,70031700
41,ICC,2805.5555555555557,32.0,20200
42,ICHI,247.70174333499963,12.600000381469727,22099900
43,JCT,204.08163265306123,79.5,4000
44,JSP,205.1738306637336,0.4000000059604645,54078200
45,JUBILE,379.02592301649645,25.5,289500
46,KAMART,604.0769372354132,4.099999904632568,6563900
47,KASET,345.6037219829619,1.8200000524520874,2198800
48,KCAR,282.2613682916837,8.449999809265137,137800
49,KCM,436.46406003767754,1.1399999856948853,17005600
50,KDH,1464.2857142857142,85.0,4100
51,KEX,213.93602150897212,40.0,19192500
52,KGI,305.52352904317314,8.100000381469727,58510200
53,KISS,676.3671349651363,13.699999809265137,26151600
54,KUMWEL,201.933466022178,2.0199999809265137,3551000
55,KUN,203.24521743407703,2.819999933242798,9916700
56,KWG,1447.040330548819,1.940000057220459,16109900
57,LALIN,339.9181166837257,9.949999809265137,996300
58,LANNA,212.86963417433586,13.600000381469727,6120300
59,LHFG,1930.3659294621816,1.1699999570846558,229188100
60,LPN,1333.7452892427543,5.449999809265137,59032100
61,LUXF,439.3939393939394,6.300000190734863,5800
62,M-CHAI,400.0,187.0,2400
63,MALEE,674.0023474178404,7.150000095367432,459400
64,MBKET,366.90970112548104,14.199999809265137,2536300
65,MCS,513.525384252427,15.0,20460700
66,MPIC,281.48148148148147,1.600000023841858,7600
67,NEP,261.31125149393887,0.4000000059604645,306100
68,NMG,889.9390268556781,0.15000000596046448,44020300
69,NNCL,899.189393642968,2.7799999713897705,27576700
70,NOBLE,325.46862138480924,7.650000095367432,39619100
71,NOVA,452.8152260111023,12.699999809265137,114200
72,NRF,574.1040732249986,10.699999809265137,74777400
73,NTV,221.37912673056442,40.25,166300
74,OCEAN,560.6990277150526,1.6299999952316284,43205000
75,OGC,313.16590563165903,26.0,82300
76,PAF,461.73610391404975,1.840000033378601,10692700
77,PIMO,417.00542005420056,3.819999933242798,55764300
78,PJW,336.5031385002468,5.150000095367432,15407200
79,PLAT,387.0721789223992,3.359999895095825,4569000
80,PM,207.39266554442048,11.800000190734863,5273000
81,PORT,224.01065764942976,3.140000104904175,29678500
82,PRG,273.64864864864865,11.5,16200
83,PRIN,406.20662304184015,2.2799999713897705,1229100
84,PROSPECT,217.3961341924017,9.350000381469727,195700
85,PSH,243.14441783123394,14.800000190734863,14110400
86,Q-CON,490.17994294491996,5.449999809265137,893500
87,QHOP,7909.090909090909,2.3399999141693115,17400
88,RAM,217.27395411605937,138.5,64400
89,RICHY,236.99230037510995,1.2000000476837158,10563600
90,ROCK,250.0,9.0,100
91,ROH,3000.0,33.0,1200
92,ROJNA,1064.5125228051188,8.5,160924700
93,SABUY,233.90589827250423,8.25,14796700
94,SALEE,222.807840532244,1.3200000524520874,26028100
95,SAMCO,602.7385669764359,1.9500000476837158,25645200
96,SAMTEL,569.814302647175,7.449999809265137,2884400
97,SAUCE,351.8867924528302,29.5,37300
98,SCI,320.3499201703034,2.2200000286102295,25040600
99,SCM,341.4018600370892,5.150000095367432,4897000
100,SCN,210.7601290708148,2.9000000953674316,19607900
101,SDC,622.2618214854646,0.49000000953674316,99452000
102,SELIC,296.8775279081055,3.799999952316284,5138000
103,SFP,333.33333333333337,102.0,1000
104,SIS,261.3019776876268,32.0,4122300
105,SKN,279.50987743887697,6.400000095367432,27508300
106,SLP,304.0441229972205,0.7599999904632568,4178600
107,SMPC,268.551523007129,11.300000190734863,2320500
108,SNP,317.0337738619677,13.399999618530273,215900
109,SPG,481.0126582278481,18.0,7600
110,SPRIME,622.4802804557406,7.099999904632568,284100
111,SRICHA,239.5773625281822,16.200000762939453,2507800
112,STANLY,237.51621271076525,181.5,146500
113,STAR,449.5528771384137,2.240000009536743,462500
114,STC,2308.5390094417758,0.8799999952316284,27873300
115,SUN,375.26590799211573,7.599999904632568,40362100
116,SUPER,221.2087411639905,1.0199999809265137,1089607100
117,SUSCO,860.6115745445093,3.359999895095825,7283700
118,SYNEX,254.1354528836159,25.5,5672100
119,TEAMG,424.41799645196863,2.5,38948500
120,THMUI,469.36581991781156,1.1399999856948853,13843100
121,TMT,289.2637481910275,11.800000190734863,6396200
122,TNDT,212.0574428231159,2.4000000953674316,3668000
123,TNITY,514.7364771151179,8.100000381469727,7422500
124,TNPF,505.050505050505,1.9600000381469727,20000
125,TPAC,455.25989609430627,19.0,3452600
126,TPCORP,217.13147410358565,13.300000190734863,10900
127,TPP,223.50230414746542,22.600000381469727,9700
128,TRITN,527.8897975455495,0.3100000023841858,244969900
129,TSI,295.8468788588997,0.3499999940395355,4695800
130,UOBKH,338.46659724886285,6.25,1235200
131,UP,248.88888888888889,17.200000762939453,11200
132,UTP,257.43445988629185,21.600000381469727,6520300
133,VRANDA,247.4024008877232,6.650000095367432,490500
